Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML
P0A935	MLTA_ECOLI	mltA	Membrane-bound lytic murein transglycosylase A	8	8	1.8589e+07	1.83179e+07	2.06669e+07	1.94007e+07	1.86508e+07	1.95494e+07
P0A937	BAME_ECOLI	bamE	Outer membrane protein assembly factor BamE	1	1	1.02072e+08	1.0685e+08	1.11437e+08	1.02624e+08	1.04375e+08	1.04178e+08
P0A940	BAMA_ECOLI	bamA	Outer membrane protein assembly factor BamA	38	38	7.90359e+07	8.08156e+07	8.19059e+07	8.05419e+07	8.17157e+07	8.24839e+07
P0A944	RIMI_ECOLI	rimI	Ribosomal-protein-alanine acetyltransferase	5	5	3.01431e+06	4.1214e+06	3.08918e+06	3.1786e+06	3.61474e+06	3.19844e+06
P0A948	RIMJ_ECOLI	rimJ	Ribosomal-protein-alanine acetyltransferase	1	1	919672	1.10179e+06	1.02835e+06	1.10683e+06	1.1607e+06	856309
P0A951	ATDA_ECOLI	speG	Spermidine N(1)-acetyltransferase	4	4	3.59284e+06	4.0724e+06	4.03098e+06	3.94499e+06	3.78127e+06	3.82896e+06
P0A953	FABB_ECOLI	fabB	3-oxoacyl-[acyl-carrier-protein] synthase 1	15	15	1.75805e+08	1.78423e+08	1.61509e+08	1.65874e+08	1.83292e+08	1.70243e+08
P0A955	ALKH_ECOLI	eda	KHG/KDPG aldolase	7	7	1.56237e+08	1.53849e+08	1.46444e+08	1.50575e+08	1.56858e+08	1.54669e+08
P0A959	ALAA_ECOLI	alaA	Glutamate-pyruvate aminotransferase AlaA	9	9	6.75254e+06	6.84014e+06	6.65654e+06	6.37807e+06	7.16057e+06	6.88273e+06
P0A962	ASPG1_ECOLI	ansA	L-asparaginase 1	3	3	5.60631e+06	5.50294e+06	5.84165e+06	5.7947e+06	5.63138e+06	5.973e+06
P0A964	CHEW_ECOLI	cheW	Chemotaxis protein CheW	4	4	5.22124e+07	5.54048e+07	5.30482e+07	5.26135e+07	5.3767e+07	5.26022e+07
P0A968	CSPD_ECOLI	cspD	Cold shock-like protein CspD	1	1	1.01789e+07	1.04287e+07	9.88645e+06	1.06515e+07	1.00258e+07	1.03028e+07
P0A972	CSPE_ECOLI	cspE	Cold shock-like protein CspE	7	7	1.21879e+09	1.19536e+09	1.21584e+09	1.22192e+09	1.21153e+09	1.2385e+09
P0A978	CSPG_ECOLI	cspG	Cold shock-like protein CspG	4	4	1.24195e+07	1.40882e+07	1.38258e+07	1.43559e+07	1.45042e+07	1.41956e+07
P0A988	DPO3B_ECOLI	dnaN	DNA polymerase III subunit beta	12	12	1.71081e+07	1.78317e+07	1.72329e+07	1.69305e+07	1.87117e+07	1.7662e+07
P0A991	ALF1_ECOLI	fbaB	Fructose-bisphosphate aldolase class 1	12	12	3.59762e+07	3.62588e+07	3.72442e+07	3.82666e+07	3.66829e+07	3.75407e+07
P0A993	F16PA_ECOLI	fbp	Fructose-1,6-bisphosphatase class 1	14	14	1.03471e+08	1.02881e+08	1.01323e+08	1.02825e+08	1.02451e+08	1.03108e+08
P0A996	GLPC_ECOLI	glpC	Anaerobic glycerol-3-phosphate dehydrogenase subunit C	11	11	2.39539e+07	2.36918e+07	2.44587e+07	2.29374e+07	2.344e+07	2.36358e+07
P0A998	FTNA_ECOLI	ftnA	Ferritin-1	5	5	2.57909e+08	2.50876e+08	2.52276e+08	2.54651e+08	2.56152e+08	2.58375e+08
P0A9A2	FTNB_ECOLI	ftnB	Ferritin-like protein 2	3	3	1.46784e+06	1.37824e+06	1.63343e+06	1.63784e+06	1.68057e+06	1.72019e+06
P0A9A6	FTSZ_ECOLI	ftsZ	Cell division protein FtsZ	23	23	1.40282e+08	1.39849e+08	1.3738e+08	1.37114e+08	1.38599e+08	1.3867e+08
P0A9A9	FUR_ECOLI	fur	Ferric uptake regulation protein	7	7	1.18738e+08	1.19628e+08	1.13617e+08	1.15692e+08	1.18997e+08	1.14135e+08
P0A9B2	G3P1_ECOLI	gapA	Glyceraldehyde-3-phosphate dehydrogenase A	28	27	2.68514e+09	2.65698e+09	2.59897e+09	2.61545e+09	2.67888e+09	2.60712e+09
P0A9B6	E4PD_ECOLI	epd	D-erythrose-4-phosphate dehydrogenase	6	6	7.46868e+06	8.54584e+06	8.45591e+06	8.46504e+06	7.82123e+06	8.24974e+06
P0A9C0	GLPA_ECOLI	glpA	Anaerobic glycerol-3-phosphate dehydrogenase subunit A	15	15	6.34255e+06	6.5759e+06	6.49191e+06	6.27518e+06	6.56509e+06	6.50355e+06
P0A9C3	GALM_ECOLI	galM	Aldose 1-epimerase	13	13	2.98154e+07	2.87806e+07	3.07821e+07	3.08674e+07	2.99687e+07	3.14065e+07
P0A9C5	GLNA_ECOLI	glnA	Glutamine synthetase	25	25	1.98425e+08	2.00664e+08	2.06519e+08	2.04735e+08	2.00168e+08	2.06734e+08
P0A9C9	GLPX_ECOLI	glpX	Fructose-1,6-bisphosphatase 1 class 2	13	13	1.34549e+07	1.34289e+07	1.39061e+07	1.39567e+07	1.37958e+07	1.37621e+07
P0A9D2	GSTA_ECOLI	gstA	Glutathione S-transferase GstA	7	7	2.48418e+07	2.50514e+07	2.49434e+07	2.31641e+07	2.55806e+07	2.28128e+07
P0A9D4	CYSE_ECOLI	cysE	Serine acetyltransferase	4	4	1.60013e+07	1.66911e+07	1.7045e+07	1.76822e+07	1.73543e+07	1.6427e+07
P0A9D8	DAPD_ECOLI	dapD	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	19	19	1.61287e+08	1.59551e+08	1.51967e+08	1.60954e+08	1.64542e+08	1.58907e+08
P0A9E5	FNR_ECOLI	fnr	Fumarate and nitrate reduction regulatory protein	6	6	3.71288e+07	3.61343e+07	3.65513e+07	3.71671e+07	3.76731e+07	3.6018e+07
P0A9F1	MNTR_ECOLI	mntR	Transcriptional regulator MntR	6	6	5.94966e+06	5.47038e+06	6.19906e+06	6.47602e+06	6.08507e+06	6.69022e+06
P0A9F3	CYSB_ECOLI	cysB	HTH-type transcriptional regulator CysB	13	13	1.39005e+07	1.38478e+07	1.41503e+07	1.36614e+07	1.45221e+07	1.36928e+07
