Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML
P0C0L2	OSMC_ECOLI	osmC	Peroxiredoxin OsmC	6	6	2.54572e+07	2.52058e+07	2.54397e+07	2.42138e+07	2.50599e+07	2.45597e+07
P0C0L7	PROP_ECOLI	proP	Proline/betaine transporter	8	8	9.29968e+06	9.32464e+06	9.11256e+06	9.24201e+06	9.40335e+06	9.3367e+06
P0C0L9	ISCX_ECOLI	iscX	Protein IscX	1	1	2.51655e+07	2.367e+07	2.3165e+07	2.3945e+07	2.37534e+07	2.37853e+07
P0C0R7	RLME_ECOLI	rlmE	Ribosomal RNA large subunit methyltransferase E	3	3	2.49674e+07	2.23154e+07	2.28963e+07	2.26825e+07	2.18854e+07	2.26637e+07
P0C0S1	MSCS_ECOLI	mscS	Small-conductance mechanosensitive channel	6	6	4.41232e+07	4.10445e+07	3.92108e+07	4.29669e+07	4.40373e+07	3.91584e+07
P0C0T5	MEPA_ECOLI	mepA	Penicillin-insensitive murein endopeptidase	3	3	3.95201e+06	2.95796e+06	3.55473e+06	3.24992e+06	3.35204e+06	4.01275e+06
P0C0U4	RIMK_ECOLI	rimK	Ribosomal protein S6 modification protein	1	1		299372	418456	424084	362105	572609
P0C0V0	DEGP_ECOLI	degP	Periplasmic serine endoprotease DegP	15	15	8.38882e+07	8.05318e+07	8.09277e+07	7.68638e+07	7.73764e+07	8.04973e+07
P0C960	EMTA_ECOLI	emtA	Endo-type membrane-bound lytic murein transglycosylase A	1	1			236852	481355	422650	399082
P0CB39	EPTC_ECOLI	eptC	Phosphoethanolamine transferase EptC	8	8	9.45191e+06	9.05023e+06	9.39236e+06	8.64965e+06	9.3604e+06	8.81548e+06
P0CE47;P0CE48	EFTU1_ECOLI;EFTU2_ECOLI	tufA;tufB	Elongation factor Tu 1	29	0	6.3947e+09	7.3293e+09	7.16778e+09	7.03069e+09	6.71514e+09	7.40154e+09
P0CF53;P0CF54;P0CF55;P0CF56;P0CF57;P0CF58;P0CF59;P0CF60;P0CF61;P0CF62;P0CF63;P0CF64	IND10_ECOLI;IND11_ECOLI;IND12_ECOLI;INSD1_ECOLI;INSD2_ECOLI;INSD3_ECOLI;INSD4_ECOLI;INSD5_ECOLI;INSD6_ECOLI;INSD7_ECOLI;INSD8_ECOLI;INSD9_ECOLI	JW5899;JW5903;JW5918;JW5933;insD1;insD2;insD3;insD4;insD5;insD6;insD7;insD8	Transposase InsD for insertion element IS2A	1	0						143519
P0CG19	RNPH_ECOLI	rph	Inactive ribonuclease PH	3	3	2.14587e+07	2.43294e+07	2.34901e+07	2.30075e+07	2.33691e+07	2.42711e+07
P0CK95	ACFD_ECOLI	yghJ	Putative lipoprotein AcfD homolog	29	29	2.38629e+07	2.39542e+07	2.37713e+07	2.3669e+07	2.42653e+07	2.37063e+07
P10100	RLPA_ECOLI	rlpA	Rare lipoprotein A	3	3	2.89182e+07	2.48221e+07	2.67304e+07	2.48674e+07	2.59439e+07	2.5812e+07
P10121	FTSY_ECOLI	ftsY	Signal recognition particle receptor FtsY	21	21	4.39476e+07	4.47332e+07	4.37476e+07	4.47773e+07	4.5102e+07	4.46035e+07
P10145ups|IL8_HUMAN_UPS	Interleukin-8,	Interleukin-8,		1	1				1.57174e+06	2.1809e+06	
P10346	GLNQ_ECOLI	glnQ	Glutamine transport ATP-binding protein GlnQ	4	4	3.54403e+07	3.97037e+07	3.89194e+07	3.68006e+07	3.91453e+07	3.74749e+07
P10371	HIS4_ECOLI	hisA	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase	4	4	5.92061e+06	7.14838e+06	6.8378e+06	6.65115e+06	5.50638e+06	6.85542e+06
P10378	ENTE_ECOLI	entE	Enterobactin synthase component E	4	4	1.41297e+06	1.40089e+06		1.14667e+06	1.22843e+06	1.41842e+06
P10384	FADL_ECOLI	fadL	Long-chain fatty acid transport protein	14	14	1.02635e+08	9.75356e+07	9.77407e+07	9.73232e+07	9.66642e+07	9.22555e+07
P10408	SECA_ECOLI	secA	Protein translocase subunit SecA	38	38	4.81632e+07	4.89681e+07	4.80584e+07	4.68001e+07	4.89766e+07	4.82604e+07
P10441	LPXB_ECOLI	lpxB	Lipid-A-disaccharide synthase	3	3	3.49546e+06	3.71357e+06	3.53747e+06	3.05402e+06	3.54836e+06	3.63544e+06
P10442	RNH2_ECOLI	rnhB	Ribonuclease HII	2	2	2.76989e+06	2.44914e+06	2.24375e+06	3.01513e+06	2.69463e+06	2.45793e+06
P10443	DPO3A_ECOLI	dnaE	DNA polymerase III subunit alpha	6	6	1.68739e+06	1.48419e+06	1.39716e+06	1.41456e+06	1.54628e+06	1.45213e+06
P10636-8ups|TAU_HUMAN_UPS	Microtubule-associated	Microtubule-associated		7	7	1.81447e+07	1.10158e+06		1.82311e+07	1.78653e+07	1.08068e+06
P10903	NARK_ECOLI	narK	Nitrite extrusion protein 1	2	1	8.76751e+06	9.65326e+06	9.73811e+06	1.03116e+07	1.05799e+07	1.07967e+07
