Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML
P0AFP6	P0AFP6		ybgI		7.41364e+06	7.52399e+06	7.68838e+06	7.26252e+06	7.57562e+06	7.08274e+06
P0AFQ7	P0AFQ7		ycfH		5.2101e+06	4.97555e+06	5.33841e+06	4.84834e+06	5.22159e+06	5.07685e+06
P0AFR2	P0AFR2		dauA		1.01222e+06	1.0418e+06	1.07916e+06	1.09508e+06	1.01193e+06	1.04188e+06
P0AFR4	P0AFR4		yciO		4.73082e+06	4.32576e+06	4.88466e+06	4.24715e+06	4.78487e+06	4.65213e+06
P0AFU8	P0AFU8		ribC		9.22846e+06	9.12928e+06	9.13132e+06	9.27616e+06	8.69111e+06	9.11733e+06
P0AFW8	P0AFW8		rof		3.54473e+06	3.29251e+06	3.51659e+06	3.47155e+06	3.55618e+06	3.27549e+06
P0AFX0	P0AFX0		hpf		924146	1.28198e+06	1.0089e+06	1.4787e+06	1.15795e+06	1.29498e+06
P0AFX7	P0AFX7		rseA		582420	614450	629825	563115	584842	636729
P0AFX9	P0AFX9		rseB		3.05196e+06	2.95668e+06	2.95547e+06	2.81609e+06	2.94718e+06	2.57982e+06
P0AFY8	P0AFY8		seqA		1.04214e+07	9.93381e+06	1.00815e+07	9.74294e+06	1.02356e+07	9.84197e+06
P0AFZ1	P0AFZ1		sseB		2.42301e+06	2.31401e+06	2.31727e+06	2.37115e+06	2.32753e+06	2.2667e+06
P0AFZ3	P0AFZ3		sspB		8.42624e+06	8.64866e+06	8.83672e+06	8.82837e+06	8.69107e+06	8.6128e+06
P0AG00	P0AG00		wzzE		2.87573e+06	2.70773e+06	2.86134e+06	2.82629e+06	2.81894e+06	2.59598e+06
P0AG07	P0AG07		rpe		1.24783e+07	1.25662e+07	1.21744e+07	1.3292e+07	1.20025e+07	1.275e+07
P0AG14	P0AG14		sohB		1.81285e+06	1.61391e+06	1.91072e+06	1.55184e+06	1.93362e+06	1.70732e+06
P0AG16	P0AG16		purF		953833	837029	867617	827124	911795	903303
P0AG18	P0AG18		purE		1.16274e+06	1.52839e+06	1.21371e+06	1.34644e+06	1.19914e+06	1.37331e+06
P0AG20	P0AG20		relA		1.65252e+06	1.49019e+06	1.64179e+06	1.6385e+06	1.68897e+06	1.638e+06
P0AG24	P0AG24		spoT		1.0039e+06	832059	798845	862782	868731	888644
P0AG27	P0AG27		yibN		1.90865e+07	1.8872e+07	1.86353e+07	1.8771e+07	1.86511e+07	1.87165e+07
P0AG30	P0AG30		rho		2.28337e+07	2.22593e+07	2.27449e+07	2.26236e+07	2.31397e+07	2.12158e+07
P0AG40	P0AG40		ribF		2.01804e+06	2.16777e+06	2.00223e+06	2.19405e+06	2.12227e+06	2.00768e+06
P0AG44	P0AG44		rplQ		1.71878e+08	1.68593e+08	1.68383e+08	1.69256e+08	1.66876e+08	1.70438e+08
P0AG48	P0AG48		rplU		7.56368e+07	7.33749e+07	7.69268e+07	7.01394e+07	7.55175e+07	7.04457e+07
P0AG51	P0AG51		rpmD		9.74146e+07	9.42506e+07	9.30313e+07	9.71385e+07	9.41602e+07	9.30939e+07
P0AG55	P0AG55		rplF		1.04617e+08	1.04002e+08	1.04568e+08	1.03513e+08	1.03433e+08	1.01652e+08
P0AG59	P0AG59		rpsN		2.4892e+07	2.32168e+07	2.55859e+07	2.3241e+07	2.52129e+07	2.24156e+07
P0AG63	P0AG63		rpsQ		2.70673e+08	2.30915e+08	2.65995e+08	2.23983e+08	2.59477e+08	2.26e+08
P0AG67	P0AG67		rpsA		3.36685e+08	3.05646e+08	3.34642e+08	3.12966e+08	3.35075e+08	3.14958e+08
P0AG78	P0AG78		sbp		426578	403442	572742	407516	492728	490659
P0AG82	P0AG82		pstS		2.192e+06	2.01411e+06	2.26521e+06	2.20495e+06	2.17458e+06	2.22136e+06
P0AG86	P0AG86		secB		2.20436e+07	2.22987e+07	2.12542e+07	2.16285e+07	2.27862e+07	2.24533e+07
P0AG90	P0AG90		secD		6.62427e+06	6.5872e+06	6.61324e+06	6.58522e+06	6.69393e+06	6.49927e+06
P0AG93	P0AG93		secF		1.01509e+06	1.01694e+06	926470	1.07825e+06	962398	1.05305e+06
P0AG96	P0AG96		secE		605879	631714	579044	635250	676984	644018
P0AG99	P0AG99		secG		4.80801e+06	6.01952e+06	4.71621e+06	6.11506e+06	4.91665e+06	5.52058e+06
P0AGA2	P0AGA2		secY		3.84132e+06	3.68457e+06	3.89675e+06	3.5638e+06	3.86732e+06	3.78619e+06
P0AGB0	P0AGB0		serB		3.6894e+06	3.8432e+06	3.48478e+06	3.85882e+06	3.96941e+06	3.57498e+06
P0AGB6	P0AGB6		rpoE		3.30095e+06	3.58983e+06	3.49315e+06	3.51371e+06	3.263e+06	3.5793e+06
P0AGC3	P0AGC3		slt		1.17369e+06	1.07789e+06	1.21091e+06	1.11486e+06	1.21689e+06	1.03715e+06
P0AGD1	P0AGD1		sodC		478580	472396	565738	445798	562907	456081
P0AGD3	P0AGD3		sodB		5.42894e+07	5.7727e+07	5.4455e+07	6.03227e+07	5.0302e+07	5.84188e+07
P0AGD7	P0AGD7		ffh		4.85903e+06	4.58598e+06	4.803e+06	4.51057e+06	4.89285e+06	4.64049e+06
P0AGE0	P0AGE0		ssb		2.98815e+07	2.97186e+07	3.00344e+07	3.04018e+07	2.99089e+07	2.98418e+07
P0AGE6	P0AGE6		yieF		1.02049e+07	1.04688e+07	1.06774e+07	1.04377e+07	9.994e+06	1.06691e+07
P0AGE9	P0AGE9		sucD		7.25807e+06	6.73007e+06	7.20096e+06	6.758e+06	7.42946e+06	6.87183e+06
P0AGF2	P0AGF2		ygdK		1.79781e+06	1.76307e+06	1.94378e+06	1.83081e+06	1.98001e+06	1.91598e+06
P0AGG0	P0AGG0		thiL		3.00334e+06	3.09788e+06	3.61901e+06	3.03996e+06	3.42458e+06	3.20782e+06
P0AGG2	P0AGG2		tesB		573127	684475	620722	552249	568816	769113
P0AGG4	P0AGG4		trxC		3.54668e+06	3.40989e+06	3.48707e+06	3.36135e+06	3.96922e+06	3.40176e+06
P0AGG8	P0AGG8		tldD		2.95617e+06	2.70962e+06	2.93205e+06	2.69409e+06	2.89201e+06	2.75651e+06
P0AGI8	P0AGI8		trkA		293169	270881	351237	346282	399208	235781
P0AGJ2	P0AGJ2		trmH		1.08116e+06	1.1117e+06	1.1286e+06	1.16806e+06	1.10287e+06	1.25984e+06
P0AGJ5	P0AGJ5		yfiF		1.19586e+07	1.23066e+07	1.21963e+07	1.21454e+07	1.21812e+07	1.1985e+07
P0AGJ7	P0AGJ7		trmL		2.16516e+06	1.97393e+06	2.14863e+06	2.10776e+06	2.14448e+06	2.12087e+06
P0AGJ9	P0AGJ9		tyrS		1.12605e+07	1.15034e+07	1.13267e+07	1.16073e+07	1.11671e+07	1.15637e+07
P0AGK4	P0AGK4		yhbY		1.9263e+07	1.9736e+07	1.88979e+07	1.96517e+07	1.91731e+07	1.95115e+07
P0AGK8	P0AGK8		iscR		2.162e+06	2.24776e+06	2.18451e+06	2.27189e+06	2.20775e+06	2.0164e+06
P0AGL2	P0AGL2		tdcF		1.73785e+06	1.67009e+06	1.6294e+06	1.55857e+06	1.66447e+06	1.89848e+06
P0AGL7	P0AGL7		rsmE		4.21545e+06	4.52017e+06	4.27851e+06	4.52289e+06	4.37763e+06	4.75286e+06
P0C018	P0C018		rplR		5.13217e+07	5.00876e+07	5.53106e+07	5.25031e+07	5.34083e+07	5.23541e+07
P0C037	P0C037		yaiE		1.11655e+07	1.08547e+07	1.13026e+07	1.00625e+07	9.81373e+06	1.10849e+07
P0C054	P0C054		ibpA		4.40466e+06	4.30586e+06	4.51109e+06	4.28384e+06	4.58386e+06	4.21133e+06
P0C093	P0C093		slmA		3.20732e+06	3.69637e+06	3.27772e+06	3.48489e+06	2.98577e+06	3.42602e+06
P0C0K3	P0C0K3		rdoA		875172	907125	898621	838924	816912	882957
P0C0L2	P0C0L2		osmC		5.43458e+06	5.57967e+06	5.57721e+06	5.48221e+06	5.75689e+06	5.95693e+06
P0C0L7	P0C0L7		proP		2.3491e+06	2.57656e+06	2.34786e+06	2.56648e+06	2.23113e+06	2.54803e+06
P0C0L9	P0C0L9		iscX		1.56788e+06	1.52885e+06	1.50842e+06	1.61637e+06	1.59307e+06	1.50793e+06
P0C0R7	P0C0R7		rlmE		2.95869e+06	2.99553e+06	2.8758e+06	3.0752e+06	2.93631e+06	3.08997e+06
P0C0S1	P0C0S1		mscS		7.6101e+06	8.86913e+06	7.85096e+06	8.98173e+06	7.66171e+06	9.14448e+06
P0C0T5	P0C0T5		mepA		3.27509e+06	4.60243e+06	3.23013e+06	4.01787e+06	2.98668e+06	4.53714e+06
P0C0V0	P0C0V0		degP		1.54643e+07	1.50425e+07	1.53194e+07	1.43964e+07	1.58952e+07	1.47799e+07
P0CB39	P0CB39		eptC		1.61105e+06	1.22753e+06	1.63196e+06	1.29977e+06	1.6731e+06	1.34102e+06
P0CE47	P0CE47		tufA		1.51815e+09	1.50633e+09	1.56838e+09	1.50168e+09	1.56247e+09	1.50738e+09
P0CG19	P0CG19		rph		7.27406e+06	6.66312e+06	7.12548e+06	5.7832e+06	6.92584e+06	6.08412e+06
P0CK95	P0CK95		yghJ		5.06125e+06	5.23869e+06	5.21099e+06	5.21604e+06	5.06825e+06	5.16321e+06
P10100	P10100		rlpA		3.37452e+06	3.41515e+06	3.42805e+06	3.54762e+06	3.44833e+06	3.71651e+06
