Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML
P08660	P08660		lysC		2.53256e+06	2.44007e+06	2.60725e+06	2.54386e+06	2.68583e+06	2.73812e+06
P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)				2.09275e+06	4.7698e+06	4.73141e+06	2.27111e+06	2.23793e+06	5.00578e+06
P08839	P08839		ptsI		3.48163e+07	3.60277e+07	3.5063e+07	3.51253e+07	3.43495e+07	3.34802e+07
P08956	P08956		hsdR		1.57923e+06	1.5217e+06	1.62504e+06	1.63211e+06	1.55684e+06	1.38995e+06
P08957	P08957		hsdM		1.23281e+07	1.20888e+07	1.2055e+07	1.22734e+07	1.2144e+07	1.17206e+07
P09029	P09029		purK		1.02651e+06	1.22179e+06	1.20763e+06	1.06787e+06	1.08686e+06	1.34798e+06
P09030	P09030		xthA		3.3984e+06	3.68151e+06	3.66569e+06	3.40045e+06	3.52242e+06	3.79083e+06
P09126	P09126		hemD		1.24799e+06	1.10782e+06	1.17687e+06	1.19402e+06	1.09741e+06	1.12634e+06
P09127	P09127		hemX		9.46093e+06	9.90795e+06	9.73604e+06	9.30144e+06	9.61459e+06	8.74953e+06
P09147	P09147		galE		9.27114e+06	9.58615e+06	9.39497e+06	9.32768e+06	9.46147e+06	9.53085e+06
P09148	P09148		galT		1.40992e+06	1.55101e+06	1.53374e+06	1.34882e+06	1.41856e+06	1.48905e+06
P09152	P09152		narG		5.17836e+06	5.38828e+06	5.3821e+06	5.16368e+06	5.28413e+06	5.35673e+06
P09155	P09155		rnd		2.28062e+06	2.32714e+06	2.42945e+06	2.34439e+06	2.36599e+06	2.43583e+06
P09158	P09158		speE		7.09808e+06	7.27843e+06	7.54463e+06	7.1644e+06	7.52364e+06	7.01098e+06
P09169	P09169		ompT		6.04334e+06	6.47139e+06	6.50751e+06	5.85156e+06	6.25638e+06	5.54831e+06
P09211ups|GSTP1_HUMAN_UPS Glutathione S-transferase P (Chain 2-210) - Homo sapiens (Human)	P09211ups|GSTP1_HUMAN_UPS Glutathione S-transferase P (Chain 2-210) - Homo sapiens (Human)				1.47856e+06	3.01168e+06	2.91229e+06	1.25119e+06	1.53322e+06	3.30344e+06
P09323	P09323		nagE		742158	765140	674189	456981	761116	620322
P09372	P09372		grpE		4.70592e+07	4.81118e+07	4.96781e+07	4.94834e+07	4.83058e+07	4.36267e+07
P09373	P09373		pflB		3.029e+08	2.98061e+08	2.92993e+08	3.01885e+08	2.96111e+08	2.62415e+08
P09394	P09394		glpQ		5.86811e+06	5.73473e+06	5.80669e+06	5.82293e+06	5.62019e+06	5.54652e+06
P09424	P09424		mtlD		2.30944e+06	2.30368e+06	2.28084e+06	2.22161e+06	2.23593e+06	2.08987e+06
