Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML
P15640	P15640		purD		2.41517e+06	2.49697e+06	2.79836e+06	2.60478e+06	2.51187e+06	2.67461e+06
P15770	P15770		aroE		3.5343e+06	2.98555e+06	3.4309e+06	3.42779e+06	3.06448e+06	3.04641e+06
P15977	P15977		malQ		3.51557e+06	3.38678e+06	3.29892e+06	3.17663e+06	3.49594e+06	3.15561e+06
P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)	P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)				852116	1.68922e+07	880942	987320	1.71581e+07	1.77334e+07
P16095	P16095		sdaA		1.74362e+06	1.87385e+06	1.77777e+06	1.66834e+06	1.69207e+06	1.76055e+06
P16384	P16384		miaA		2.18493e+06	2.04135e+06	2.22766e+06	2.11539e+06	2.05892e+06	1.85353e+06
P16431	P16431		hycE		3.10698e+06	3.06179e+06	2.98853e+06	2.97927e+06	2.93686e+06	2.88057e+06
P16433	P16433		hycG		945810	772194	957879	1.0065e+06	863480	811944
P16456	P16456		selD		6.27311e+06	6.22595e+06	6.46605e+06	6.38357e+06	6.3905e+06	6.32464e+06
P16528	P16528		iclR		1.84498e+06	1.71642e+06	1.83134e+06	1.79054e+06	1.8031e+06	1.88604e+06
P16659	P16659		proS		1.02112e+07	1.0644e+07	1.03719e+07	1.01935e+07	1.07254e+07	1.07114e+07
P16700	P16700		cysP		6.55586e+06	6.61321e+06	6.5299e+06	6.61499e+06	6.63865e+06	6.49977e+06
P16703	P16703		cysM		3.35473e+06	3.44886e+06	3.28974e+06	3.21028e+06	3.58569e+06	3.69914e+06
P16926	P16926		mreC		1.41904e+06	1.40353e+06	1.49264e+06	1.56202e+06	1.34692e+06	1.2833e+06
P17109	P17109		menD		1.25026e+06	1.10854e+06	1.23057e+06	1.18374e+06	952669	890138
P17115	P17115		gutQ		2.02479e+06	2.06232e+06	2.00189e+06	2.06322e+06	1.98073e+06	2.00263e+06
P17117	P17117		nfsA		4.24882e+06	4.17356e+06	4.41041e+06	4.37012e+06	4.39356e+06	4.17356e+06
P17169	P17169		glmS		4.18225e+07	4.2021e+07	4.1571e+07	4.26355e+07	4.22363e+07	4.20693e+07
P17315	P17315		cirA		2.07895e+06	1.89688e+06	2.28412e+06	2.0041e+06	1.94337e+06	1.90083e+06
P17443	P17443		murG		2.90876e+06	2.96819e+06	2.7565e+06	2.86433e+06	2.8715e+06	2.68098e+06
P17445	P17445		betB		534614	467238	639397	619309	492984	580906
P17846	P17846		cysI		5.76581e+06	5.40988e+06	5.62915e+06	5.68098e+06	5.55565e+06	5.23836e+06
P17854	P17854		cysH		6.79768e+06	6.49828e+06	6.62811e+06	6.50525e+06	6.42591e+06	6.28404e+06
P17952	P17952		murC		1.73355e+06	1.78205e+06	1.77592e+06	1.80694e+06	1.78326e+06	1.90069e+06
P17993	P17993		ubiG		3.54023e+06	3.34393e+06	3.59522e+06	3.74622e+06	3.33248e+06	3.39358e+06
P18133	P18133		pncB		1.50372e+06	1.53051e+06	1.36704e+06	1.40959e+06	1.55976e+06	1.57094e+06
P18196	P18196		minC		2.51057e+06	2.33121e+06	2.07818e+06	2.41949e+06	2.48636e+06	2.48464e+06
P18390	P18390		yjjA		1.09909e+06	955971	1.0319e+06	1.16577e+06	920176	1.0119e+06
P18775	P18775		dmsA		2.93941e+06	2.55533e+06	2.92965e+06	2.86976e+06	2.77675e+06	2.51851e+06
P18776	P18776		dmsB		2.19347e+06	2.01316e+06	2.14667e+06	2.21993e+06	2.00622e+06	2.21839e+06
P18843	P18843		nadE		1.814e+07	1.70373e+07	1.78943e+07	1.81672e+07	1.69322e+07	1.70542e+07
P19926	P19926		agp		2.62745e+06	2.60009e+06	2.76444e+06	2.69691e+06	2.70865e+06	2.67196e+06
P19934	P19934		tolA		1.41211e+06	1.33609e+06	1.3901e+06	1.43312e+06	1.32113e+06	1.46126e+06
P20083	P20083		parE		1.62789e+06	1.58549e+06	1.65658e+06	1.64632e+06	1.68109e+06	1.64987e+06
P20966	P20966		fruA		1.02755e+07	1.00734e+07	1.04483e+07	1.04993e+07	9.67765e+06	1.00383e+07
P21156	P21156		cysD		2.65547e+06	2.57972e+06	2.54549e+06	2.62289e+06	2.52643e+06	2.50166e+06
P21165	P21165		pepQ		2.04098e+07	1.96996e+07	2.03608e+07	2.07353e+07	1.96192e+07	1.95674e+07
P21170	P21170		speA		6.90014e+06	6.86124e+06	6.67996e+06	6.80364e+06	6.92957e+06	7.05078e+06
P21179	P21179		katE		585305	508920	629584	525640	560118	548360
P21338	P21338		rna		1.86403e+06	1.60764e+06	1.6643e+06	1.86541e+06	1.55378e+06	1.7757e+06
P21367	P21367		ycaC		1.32417e+06	1.32467e+06	1.27807e+06	1.38334e+06	1.29821e+06	1.33017e+06
P21369	P21369		pncA		1.89605e+06	2.02395e+06	1.93537e+06	1.74778e+06	1.94064e+06	2.10657e+06
P21420	P21420		nmpC		2.95598e+07	2.68034e+07	2.9644e+07	3.17451e+07	2.73042e+07	2.57614e+07
P21499	P21499		rnr		4.5118e+06	4.45373e+06	4.45901e+06	4.54607e+06	4.50207e+06	4.57015e+06
P21507	P21507		srmB		4.85975e+06	4.81545e+06	4.86248e+06	4.88408e+06	4.94622e+06	5.10956e+06
P21513	P21513		rne		9.14389e+06	8.8309e+06	9.10999e+06	9.26142e+06	8.76176e+06	8.70745e+06
P21599	P21599		pykA		2.19824e+07	2.20583e+07	2.26481e+07	2.24896e+07	2.22829e+07	2.22711e+07
P21645	P21645		lpxD		4.06747e+06	4.21199e+06	3.91892e+06	4.09766e+06	3.95625e+06	3.14057e+06
P21829	P21829		ybhA		2.40371e+06	2.50807e+06	2.32681e+06	2.41273e+06	2.5723e+06	2.53187e+06
P21888	P21888		cysS		1.19284e+07	1.1939e+07	1.20872e+07	1.19233e+07	1.20494e+07	1.24965e+07
P21889	P21889		aspS		1.01597e+07	1.00114e+07	1.01443e+07	9.97769e+06	9.93009e+06	1.00408e+07
P21893	P21893		recJ		865676	1.21371e+06	954252	936898	883002	910408
P22106	P22106		asnB		1.60962e+06	1.35958e+06	1.62236e+06	1.41159e+06	1.43604e+06	1.29753e+06
P22186	P22186		mraZ		2.08324e+06	2.23614e+06	2.32751e+06	2.22471e+06	2.22517e+06	2.29077e+06
P22188	P22188		murE		6.6617e+06	6.84328e+06	7.0432e+06	7.02817e+06	6.73649e+06	6.79788e+06
P22255	P22255		cysQ		7.08748e+06	6.90501e+06	7.09382e+06	6.87849e+06	6.47141e+06	6.68472e+06
P22256	P22256		gabT		907709	1.36274e+06	1.13286e+06	1.07831e+06	1.26662e+06	1.19104e+06
P22259	P22259		pckA		8.09067e+06	7.81324e+06	8.09913e+06	7.89571e+06	7.75491e+06	7.67697e+06
P22333	P22333		add		1.32044e+07	1.32758e+07	1.3177e+07	1.32906e+07	1.35829e+07	1.36459e+07
P22523	P22523		mukB		4.00741e+06	3.92047e+06	3.93819e+06	4.10872e+06	3.92393e+06	4.03554e+06
P22524	P22524		mukE		5.39973e+06	5.83905e+06	5.47795e+06	5.41089e+06	6.05475e+06	5.77682e+06
P22525	P22525		ycbB		2.00841e+06	1.48435e+06	1.76593e+06	1.74501e+06	1.29884e+06	1.10362e+06
