Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0AFL3	PPIA_ECOLI	ppiA	Peptidyl-prolyl cis-trans isomerase A	5	5.0	43337100.0	43215800.0	45189400.0	47035300.0	47685200.0	45620500.0	0	0.47837394303437164	-0.04018738238145911	False	0.028157894736842104	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P0A8E7	YAJQ_ECOLI	yajQ	UPF0234 protein YajQ	11	11.0	159565000.0	156474000.0	159954000.0	151821000.0	157928000.0	153338000.0	0	0.4785889192430866	0.020383775860523572	False	0.02818421052631579	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P0AGE6	YIEF_ECOLI	yieF	Uncharacterized protein YieF	8	8.0	35507900.0	34533600.0	34511300.0	35599400.0	34645500.0	36131900.0	0	0.47897566523458635	0.018776607604262998	False	0.028210526315789474	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P08189	FIMF_ECOLI	fimF	Protein FimF	1	1.0	2736480.0	2699770.0	151323.0	2408130.0	1969140.0	2145840.0	1	0.4791522055725543	-0.491543173378864	False	0.02823684210526316	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P62672	APAG_ECOLI	apaG	Protein ApaG	2	2.0	4809800.0	5536810.0	5291060.0	5321070.0	5076990.0	5332400.0	0	0.48032754981690545	-0.04614441174644968	False	0.028263157894736844	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P0A8N7	EPMA_ECOLI	epmA	Elongation factor P--(R)-beta-lysine ligase	6	6.0	13125400.0	14168200.0	14591600.0	13082500.0	13152600.0	13975200.0	0	0.48065161350153573	0.04530436973579324	False	0.028289473684210528	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P77202	DSBG_ECOLI	dsbG	Thiol:disulfide interchange protein DsbG	2	2.0	1910280.0	1726090.0	1505570.0	91315.1	1610010.0	1384150.0	1	0.48124384973626944	0.4859134761753132	False	0.028315789473684214	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P37440	UCPA_ECOLI	ucpA	Oxidoreductase UcpA	7	7.0	24158600.0	23833500.0	23625300.0	23796100.0	23733600.0	23984500.0	0	0.48173178557591434	0.008168449067156363	False	0.028342105263157894	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P0A9U1	YBHF_ECOLI	ybhF	Uncharacterized ABC transporter ATP-binding protein YbhF	2	2.0	919485.0	734343.0	884134.0	1082980.0	829274.0	1157680.0	0	0.48179046995217417	0.1620916347132934	False	0.02836842105263158	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P09029	PURK_ECOLI	purK	N5-carboxyaminoimidazole ribonucleotide synthase	3	3.0	2254540.0	2553440.0	2709190.0	2247570.0	2459520.0	2720350.0	0	0.4819500088330766	0.08179767408633319	False	0.028394736842105264	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P39384	YJIM_ECOLI	yjiM	Uncharacterized protein YjiM	2	2.0	2765460.0	2927390.0	2951980.0	91315.1	3094300.0	2888730.0	1	0.4836629978929006	0.4934895677875986	False	0.028421052631578948	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P0A763	NDK_ECOLI	ndk	Nucleoside diphosphate kinase	6	6.0	56785800.0	58098700.0	56664600.0	56316700.0	57934400.0	57409200.0	0	0.4847140782941276	-0.012528314553728465	False	0.028447368421052634	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P0AAV4	YBGJ_ECOLI	ybgJ	Uncharacterized protein YbgJ	2	2.0	2011360.0	1914890.0	2190510.0	1737960.0	2273450.0	2132810.0	0	0.4847885572075581	0.09614008266376561	False	0.028473684210526318	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P0AFR2	DAUA_ECOLI	dauA	C4-dicarboxylic acid transporter DauA	2	2.0	3282420.0	3523640.0	3419420.0	3152040.0	3030980.0	3386060.0	0	0.4854553390030593	0.05557901565403147	False	0.028500000000000004	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
