protein	RD139_Wide_UPS1_1fmol_inj1	RD139_Wide_UPS1_1fmol_inj2	RD139_Wide_UPS1_1fmol_inj3	RD139_Wide_UPS1_2_5fmol_inj1	RD139_Wide_UPS1_2_5fmol_inj2	RD139_Wide_UPS1_2_5fmol_inj3	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P07813	782025015.9447739	760630583.6564128	762023445.0132607	801160038.023222	754615898.7025522	754536693.4942666	0	0.9195551172252416	-0.003522238229379607	False	0.046425024826216486	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P39300	996371.9441355214	946748.5000000008	140095.97235654233	604187.426172229	628238.2243693619	755556.2181025357	1	0.920005976300348	0.0675081237311637	False	0.0464498510427011	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P64519	1012123.1562336588	1085558.883703509	1324774.953470405	1438580.7355137086	1072016.6102873925	847828.3293371734	0	0.9200911518567562	0.02724731151482265	False	0.04647467725918571	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P00509	919647826.4882592	954542287.6141148	952537726.6176604	934485814.04898	954260487.2882302	942128807.7303256	0	0.9202108106503022	-0.0021151164558499353	False	0.04649950347567031	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P37024	2104418.5529527245	105810.48437500007	1863648.0812463567	1962852.7175854647	101496.66279868108	1736429.487011949	2	0.920875292159562	0.10010737417501718	False	0.04652432969215492	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P0ADC3	8203480.372039807	9018726.62259971	10521217.747446148	8966388.739645576	9495389.059207316	9050404.364743983	0	0.9212467261120956	0.012075316426693685	False	0.046549155908639527	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P0AC38	4425146665.052098	4490622256.261695	4398267271.275664	4380403654.349056	4469414212.712125	4452033318.953562	0	0.9213733911106894	0.0013209591351680166	False	0.04657398212512414	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P0ABB8	2528543.42795029	3905673.233151145	2927814.3842393244	2966564.479579613	1604225.8067997843	4491890.228436166	0	0.9214361996902422	0.04688372257224609	False	0.04659880834160874	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P39838	5455135.685120266	4984489.390956098	6042940.023368864	5825053.875320742	5583231.094568249	4947504.792389145	0	0.9216070164250582	0.011139355772388277	False	0.046623634558093346	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P46854	3296680.387128918	3083553.582204475	3006553.463825029	4014043.056003523	3490313.59689487	2075323.2250188128	0	0.9221979030298628	-0.029345957166526174	False	0.04664846077457795	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
