Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P30011	NADC_ECOLI	nadC	Nicotinate-nucleotide pyrophosphorylase [carboxylating]	12	12.0	20419400.0	19105000.0	19391200.0	20759400.0	19888000.0	20204300.0	0	0.6665331856840488	0.019280822496912278	False	0.038128564022809744	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P28630	HOLA_ECOLI	holA	DNA polymerase III subunit delta	3	3.0	250964.0	248307.0	272364.0	78531.8	133717.0	274454.0	2	0.6669986096850096	-0.2360921664845675	False	0.03815448418869881	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P63224	GMHA_ECOLI	gmhA	Phosphoheptose isomerase	10	10.0	190742000.0	191247000.0	190571000.0	185250000.0	187257000.0	186133000.0	0	0.6672721147364353	0.008361328821533492	False	0.038180404354587874	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0AEM9	FLIY_ECOLI	fliY	Cystine-binding periplasmic protein	20	20.0	56819400.0	58400500.0	58391400.0	57277600.0	56590300.0	56422500.0	0	0.6688460041001987	0.009172992177737293	False	0.03820632452047693	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0A8T1	PRMA_ECOLI	prmA	Ribosomal protein L11 methyltransferase	4	4.0	42687800.0	43294500.0	41653200.0	40994700.0	40541600.0	43315100.0	0	0.6689907974039495	0.01676603194607368	False	0.03823224468636599	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P43329	HRPA_ECOLI	hrpA	ATP-dependent RNA helicase HrpA	21	21.0	4427540.0	4982790.0	4832440.0	4932040.0	4987240.0	4792790.0	0	0.6697816913309556	-0.026916621462889232	False	0.038258164852255055	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P75958	LOLE_ECOLI	lolE	Lipoprotein-releasing system transmembrane protein LolE	1	1.0	92742.0	86292.2	2090750.0	2754070.0	133717.0	2259670.0	3	0.6698406249936625	-0.6124020317722663	False	0.03828408501814412	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0AFF2	NUPC_ECOLI	nupC	Nucleoside permease NupC	3	3.0	2627050.0	2744680.0	2681030.0	2627780.0	2760380.0	2382920.0	0	0.6699465030127112	0.03194441334801028	False	0.03831000518403318	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P37692	RFAF_ECOLI	rfaF	ADP-heptose--LPS heptosyltransferase 2	8	8.0	17067500.0	17482000.0	18337500.0	18749800.0	17354700.0	18462500.0	0	0.6700487135557202	-0.02296996682219425	False	0.038335925349922244	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P31142	THTM_ECOLI	sseA	3-mercaptopyruvate sulfurtransferase	12	12.0	22881800.0	22521900.0	23310300.0	23136000.0	22430800.0	22283200.0	0	0.6702216121414831	0.010889671574123664	False	0.0383618455158113	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P07000	PLDB_ECOLI	pldB	Lysophospholipase L2	1	1.0	2414300.0	2345990.0	2148830.0	1733690.0	2086350.0	1933130.0	0	0.671651433794707	0.07422766903123135	False	0.03838776568170036	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P28631	HOLB_ECOLI	holB	DNA polymerase III subunit delta'	1	1.0	92742.0	812059.0	1408700.0	1165460.0	1268820.0	105835.0	2	0.6727162954854571	-0.4270122660974871	False	0.03841368584758943	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
