Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML
P16431	P16431		hycE		3.02436e+06	3.0317e+06	3.08284e+06	3.06159e+06	2.99296e+06	3.04325e+06
P16433	P16433		hycG		930784	884726	881949	958920	916627	1.03849e+06
P16456	P16456		selD		5.07162e+06	5.06605e+06	4.88942e+06	5.03411e+06	4.91247e+06	4.94143e+06
P16528	P16528		iclR		1.88474e+06	1.80659e+06	1.92401e+06	1.79061e+06	1.79368e+06	1.8561e+06
P16659	P16659		proS		1.1019e+07	1.11392e+07	1.07121e+07	1.10549e+07	1.07358e+07	1.07273e+07
P16676	P16676		cysA		775298	751669	789976	786761	786997	853804
P16700	P16700		cysP		7.91947e+06	7.98818e+06	7.72557e+06	7.68733e+06	7.50843e+06	7.74007e+06
P16703	P16703		cysM		3.02033e+06	2.89772e+06	2.71501e+06	2.94873e+06	2.93566e+06	2.92154e+06
P16926	P16926		mreC		997672	984054	1.06548e+06	1.0767e+06	1.07808e+06	1.08693e+06
P17109	P17109		menD		1.58395e+06	1.58932e+06	1.855e+06	1.6205e+06	1.9415e+06	2.16433e+06
P17115	P17115		gutQ		2.29269e+06	2.33137e+06	2.33571e+06	2.26036e+06	2.27682e+06	2.32648e+06
P17117	P17117		nfsA		4.91725e+06	4.50333e+06	4.25991e+06	4.60298e+06	4.68656e+06	4.47128e+06
P17169	P17169		glmS		4.34068e+07	4.37482e+07	4.27286e+07	4.33865e+07	4.26931e+07	4.2762e+07
