Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML
P0C0L7	PROP_ECOLI	proP	Proline/betaine transporter	8	8	8.90634e+06	8.83237e+06	9.03815e+06	8.64316e+06	8.82595e+06	8.31573e+06
P0C0L9	ISCX_ECOLI	iscX	Protein IscX	1	1	1.9434e+07	1.8712e+07	2.01308e+07	2.05093e+07	1.89458e+07	2.19938e+07
P0C0R7	RLME_ECOLI	rlmE	Ribosomal RNA large subunit methyltransferase E	3	3	2.39158e+07	2.38706e+07	2.37882e+07	2.43965e+07	2.48158e+07	2.41111e+07
P0C0S1	MSCS_ECOLI	mscS	Small-conductance mechanosensitive channel	6	6	3.96537e+07	3.93917e+07	4.04581e+07	3.80418e+07	3.69696e+07	4.12842e+07
P0C0T5	MEPA_ECOLI	mepA	Penicillin-insensitive murein endopeptidase	3	3		4.0676e+06	3.90947e+06	4.1258e+06	4.61751e+06	3.7228e+06
P0C0U4	RIMK_ECOLI	rimK	Ribosomal protein S6 modification protein	1	1		519974	508776		467015	375027
P0C0V0	DEGP_ECOLI	degP	Periplasmic serine endoprotease DegP	15	15	8.47586e+07	7.77328e+07	8.4891e+07	7.69353e+07	7.72212e+07	8.04129e+07
P0C960	EMTA_ECOLI	emtA	Endo-type membrane-bound lytic murein transglycosylase A	1	1	637836	355483	650989	488515		595798
P0CB39	EPTC_ECOLI	eptC	Phosphoethanolamine transferase EptC	8	8	7.67244e+06	6.42069e+06	8.32705e+06	6.47027e+06	6.75849e+06	8.01832e+06
P0CE47;P0CE48	EFTU1_ECOLI;EFTU2_ECOLI	tufA;tufB	Elongation factor Tu 1	31	0	5.84398e+09	5.52017e+09	5.80901e+09	5.47082e+09	5.49096e+09	5.66706e+09
P0CG19	RNPH_ECOLI	rph	Inactive ribonuclease PH	3	3	2.23404e+07	2.15375e+07	2.13464e+07	2.10647e+07	2.07015e+07	2.23128e+07
P0CK95	ACFD_ECOLI	yghJ	Putative lipoprotein AcfD homolog	29	29	1.79516e+07	1.85536e+07	1.82353e+07	1.88718e+07	1.88918e+07	1.84846e+07
P10100	RLPA_ECOLI	rlpA	Rare lipoprotein A	3	3	2.53755e+07	2.44314e+07	2.54034e+07	2.33703e+07	2.4654e+07	2.39585e+07
P10121	FTSY_ECOLI	ftsY	Signal recognition particle receptor FtsY	22	22	1.49088e+08	1.41388e+08	1.44029e+08	1.43816e+08	1.36473e+08	1.50133e+08
P10145ups|IL8_HUMAN_UPS	Interleukin-8,	Interleukin-8,		1	1		5.59324e+06		4.63849e+06	3.33505e+06	
P10346	GLNQ_ECOLI	glnQ	Glutamine transport ATP-binding protein GlnQ	4	4	3.23504e+07	3.42978e+07	3.41847e+07	3.27832e+07	3.33018e+07	3.54075e+07
P10371	HIS4_ECOLI	hisA	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase	3	3	7.23013e+06	7.69433e+06	7.76202e+06	7.85336e+06	7.42037e+06	7.72329e+06
P10378	ENTE_ECOLI	entE	Enterobactin synthase component E	4	4	1.2868e+06	1.24663e+06	1.43738e+06	1.3954e+06	1.38714e+06	1.3404e+06
P10384	FADL_ECOLI	fadL	Long-chain fatty acid transport protein	15	15	9.7354e+07	9.17616e+07	9.33549e+07	8.51258e+07	9.28375e+07	9.8418e+07
P10408	SECA_ECOLI	secA	Protein translocase subunit SecA	39	39	4.92826e+07	4.89321e+07	4.92564e+07	4.86291e+07	4.89474e+07	4.97686e+07
P10441	LPXB_ECOLI	lpxB	Lipid-A-disaccharide synthase	4	4	3.97025e+06	3.29981e+06	3.8439e+06	3.75756e+06	3.43947e+06	3.98483e+06
P10442	RNH2_ECOLI	rnhB	Ribonuclease HII	2	2	2.12999e+06	2.26469e+06	2.02971e+06	2.11207e+06	2.29497e+06	2.17727e+06
P10443	DPO3A_ECOLI	dnaE	DNA polymerase III subunit alpha	8	8	947080	975448	930685	924663	856835	997265
P10599ups|THIO_HUMAN_UPS	Thioredoxin	Thioredoxin		4	4		1.38889e+07		1.27612e+07	1.37948e+07	
P10636-8ups|TAU_HUMAN_UPS	Microtubule-associated	Microtubule-associated		16	16		4.56104e+07		4.19747e+07	4.52953e+07	
P10903	NARK_ECOLI	narK	Nitrite extrusion protein 1	1	1	1.04434e+07	1.12389e+07	1.02903e+07	1.10092e+07	9.94322e+06	1.09844e+07
