Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML
P0ABX8	FLIL_ECOLI	fliL	Flagellar protein FliL	8	8	1.03094e+07	9.75441e+06	1.04677e+07	9.72103e+06	9.30162e+06	1.02335e+07
P0ABZ1	FLIG_ECOLI	fliG	Flagellar motor switch protein FliG	9	9	9.91867e+06	1.02415e+07	1.06135e+07	1.02385e+07	1.0438e+07	1.06152e+07
P0ABZ4	KDSC_ECOLI	kdsC	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC	2	2	2.58834e+07	2.44615e+07	2.65722e+07	2.56777e+07	2.51704e+07	2.79161e+07
P0ABZ6	SURA_ECOLI	surA	Chaperone SurA	16	16	6.80542e+07	5.63113e+07	6.66675e+07	6.63913e+07	6.52884e+07	6.62556e+07
P0AC02	BAMD_ECOLI	bamD	Outer membrane protein assembly factor BamD	12	12	9.60071e+07	1.04195e+08	1.00922e+08	1.06621e+08	1.05128e+08	1.00674e+08
P0AC13	DHPS_ECOLI	folP	Dihydropteroate synthase	12	12	2.66631e+07	2.67905e+07	2.71694e+07	2.63502e+07	2.56769e+07	2.63444e+07
P0AC16	FOLB_ECOLI	folB	Dihydroneopterin aldolase	1	1		514630	476773	505426		503988
P0AC19	FOLX_ECOLI	folX	D-erythro-7,8-dihydroneopterin triphosphate epimerase	6	6	2.70731e+07	2.89278e+07	2.48952e+07	2.39396e+07	2.50565e+07	2.54752e+07
P0AC28	YGFA_ECOLI	ygfA	Uncharacterized protein YgfA	1	1	849818	719942	901644	788289	860376	910729
P0AC30	FTSX_ECOLI	ftsX	Cell division protein FtsX	9	9	1.01623e+07	9.865e+06	9.85699e+06	1.0936e+07	1.01325e+07	1.03446e+07
P0AC33	FUMA_ECOLI	fumA	Fumarate hydratase class I, aerobic	9	9	1.23091e+07	1.32133e+07	1.36042e+07	1.2959e+07	1.3604e+07	1.31962e+07
P0AC38	ASPA_ECOLI	aspA	Aspartate ammonia-lyase	22	22	6.33359e+08	6.20668e+08	6.24301e+08	6.45225e+08	6.40281e+08	6.48636e+08
P0AC41	DHSA_ECOLI	sdhA	Succinate dehydrogenase flavoprotein subunit	14	14	2.16831e+07	2.19942e+07	2.12323e+07	1.88877e+07	2.0701e+07	2.18372e+07
P0AC47	FRDB_ECOLI	frdB	Fumarate reductase iron-sulfur subunit	8	8	9.6677e+07	9.59862e+07	9.51398e+07	9.4782e+07	9.20299e+07	9.43977e+07
P0AC51	ZUR_ECOLI	zur	Zinc uptake regulation protein	3	3	1.35639e+07	1.50471e+07	1.28832e+07	1.54867e+07	1.56821e+07	1.38031e+07
P0AC53	G6PD_ECOLI	zwf	Glucose-6-phosphate 1-dehydrogenase	25	25	5.86654e+07	5.82455e+07	5.64019e+07	5.58571e+07	5.69443e+07	5.63098e+07
