Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML
P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)	P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)					1.24883e+07		1.26832e+07	3.57846e+06	1.21005e+07
P10903	P10903		narK		2.39179e+06	2.48983e+06	2.43436e+06	2.29062e+06	2.13699e+06	2.42787e+06
P10908	P10908		ugpQ		330303	274445	338582	294512	314061	328905
P11289	P11289		yfiL		608347	616075	713154	656004	504848	607535
P11349	P11349		narH		1.54907e+06	1.4615e+06	1.46715e+06	1.46148e+06	1.53258e+06	1.57971e+06
P11447	P11447		argH		1.74151e+06	1.61383e+06	1.73515e+06	1.60538e+06	1.66514e+06	1.5693e+06
P11557	P11557		damX		8.68036e+06	6.998e+06	8.80797e+06	7.17559e+06	8.42651e+06	7.08914e+06
P11875	P11875		argS		1.171e+07	1.15612e+07	1.16869e+07	1.18726e+07	1.15895e+07	1.14187e+07
P11880	P11880		murF		5.56379e+06	4.64136e+06	5.54167e+06	4.52973e+06	5.39675e+06	4.74711e+06
P12008	P12008		aroC		3.55564e+06	3.44979e+06	3.67881e+06	3.52825e+06	3.6284e+06	3.72299e+06
P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)	P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)					2.83082e+07		2.88872e+07		2.94048e+07
