Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML
P0AG20	RELA_ECOLI	relA	GTP pyrophosphokinase	17	17	9.30321e+07	8.83847e+07	8.36361e+07	8.80535e+07	9.44257e+07	8.65774e+07
P0AG24	SPOT_ECOLI	spoT	Bifunctional (p)ppGpp synthase/hydrolase SpoT	10	10	9.25709e+06	9.23158e+06	9.40305e+06	9.73622e+06	1.03244e+07	1.03705e+07
P0AG27	YIBN_ECOLI	yibN	Uncharacterized protein YibN	5	5	1.14584e+08	1.05825e+08	1.12967e+08	1.10072e+08	1.09491e+08	1.09647e+08
P0AG30	RHO_ECOLI	rho	Transcription termination factor Rho	29	29	2.39111e+08	2.46352e+08	2.46994e+08	2.40602e+08	2.3618e+08	2.39724e+08
P0AG40	RIBF_ECOLI	ribF	Riboflavin biosynthesis protein RibF	7	7	9.28442e+06	9.98616e+06	9.91545e+06	9.28677e+06	9.30687e+06	9.2544e+06
P0AG44	RL17_ECOLI	rplQ	50S ribosomal protein L17	6	6	1.39376e+09	1.4471e+09	1.39763e+09	1.37203e+09	1.37073e+09	1.3965e+09
P0AG48	RL21_ECOLI	rplU	50S ribosomal protein L21	9	9	5.19784e+08	6.31427e+08	6.10173e+08	6.22068e+08	6.11075e+08	6.05252e+08
P0AG51	RL30_ECOLI	rpmD	50S ribosomal protein L30	6	6	3.87379e+08	4.14921e+08	4.36922e+08	4.03644e+08	4.30904e+08	4.34916e+08
P0AG55	RL6_ECOLI	rplF	50S ribosomal protein L6	11	11	1.13559e+09	1.29042e+09	1.2678e+09	1.25446e+09	1.26498e+09	1.27489e+09
P0AG59	RS14_ECOLI	rpsN	30S ribosomal protein S14	8	8	7.26807e+08	8.98505e+08	9.09584e+08	8.89094e+08	9.04961e+08	8.9715e+08
P0AG63	RS17_ECOLI	rpsQ	30S ribosomal protein S17	3	3	8.122e+08	1.21582e+09	1.17339e+09	1.17106e+09	1.2331e+09	1.21809e+09
P0AG67	RS1_ECOLI	rpsA	30S ribosomal protein S1	44	44	1.42206e+09	1.65255e+09	1.6169e+09	1.61717e+09	1.59211e+09	1.60175e+09
P0AG71	RMUC_ECOLI	rmuC	DNA recombination protein RmuC	2	2	2.63924e+06		1.43674e+06	1.68853e+06		1.95578e+06
P0AG78	SUBI_ECOLI	sbp	Sulfate-binding protein	3	3	2.51423e+06	2.70242e+06	2.35869e+06	2.14925e+06	1.78589e+06	2.61963e+06
P0AG80	UGPB_ECOLI	ugpB	sn-glycerol-3-phosphate-binding periplasmic protein UgpB	2	2		1.12641e+06	1.30408e+06	1.02225e+06	1.10093e+06	1.08435e+06
P0AG82	PSTS_ECOLI	pstS	Phosphate-binding protein PstS	16	16	1.64338e+07	1.64033e+07	1.67959e+07	1.62648e+07	1.66295e+07	1.68828e+07
P0AG84	YGHA_ECOLI	yghA	Uncharacterized oxidoreductase YghA	6	6	2.79764e+06	4.0137e+06	4.183e+06	4.22162e+06	3.94401e+06	4.05855e+06
P0AG86	SECB_ECOLI	secB	Protein-export protein SecB	6	6	3.80477e+08	3.94067e+08	3.85416e+08	3.7201e+08	3.59983e+08	3.76538e+08
P0AG90	SECD_ECOLI	secD	Protein translocase subunit SecD	29	29	2.74335e+07	2.76689e+07	2.75101e+07	2.72182e+07	2.70584e+07	2.69578e+07
P0AG93	SECF_ECOLI	secF	Protein translocase subunit SecF	4	4	5.15926e+06	6.06099e+06	6.23968e+06	6.01624e+06	6.69197e+06	6.23258e+06
P0AG96	SECE_ECOLI	secE	Preprotein translocase subunit SecE	3	3	5.22295e+06	5.00416e+06	4.69997e+06	4.44775e+06	5.09438e+06	4.81014e+06
P0AG99	SECG_ECOLI	secG	Protein-export membrane protein SecG	3	3	4.61918e+07	4.41182e+07	4.43276e+07	4.83893e+07	4.70048e+07	4.43048e+07
P0AGA2	SECY_ECOLI	secY	Protein translocase subunit SecY	5	5	2.78505e+07	2.92324e+07	2.99911e+07	2.92999e+07	2.70855e+07	3.02607e+07
P0AGB0	SERB_ECOLI	serB	Phosphoserine phosphatase	6	6	9.61739e+06	9.39637e+06	8.8386e+06	9.17169e+06	9.30296e+06	9.37111e+06
P0AGB6	RPOE_ECOLI	rpoE	RNA polymerase sigma-E factor	7	7	1.43421e+07	1.29517e+07	1.32054e+07	1.29787e+07	1.34778e+07	1.27555e+07
P0AGC3	SLT_ECOLI	slt	Soluble lytic murein transglycosylase	13	13	6.13916e+06	5.72163e+06	5.67565e+06	5.69722e+06	5.61213e+06	5.58517e+06
P0AGC7	SMP_ECOLI	smp	Protein smp	2	2	978904	1.02003e+06	1.23368e+06	991489	1.04163e+06	1.10349e+06
P0AGD1	SODC_ECOLI	sodC	Superoxide dismutase [Cu-Zn]	1	1		4.74881e+06	4.49668e+06	4.42193e+06	4.44677e+06	4.24676e+06
P0AGD3	SODF_ECOLI	sodB	Superoxide dismutase [Fe]	9	9	3.65199e+08	3.31108e+08	3.38397e+08	3.50794e+08	3.58681e+08	3.30583e+08
P0AGD7	SRP54_ECOLI	ffh	Signal recognition particle protein	14	14	4.18801e+07	4.07182e+07	3.9373e+07	3.96869e+07	4.04551e+07	3.909e+07
P0AGE0	SSB_ECOLI	ssb	Single-stranded DNA-binding protein	9	9	1.93974e+08	2.02887e+08	1.96051e+08	1.93142e+08	1.95709e+08	1.95711e+08
P0AGE6	YIEF_ECOLI	yieF	Uncharacterized protein YieF	8	8	3.70488e+07	3.65699e+07	3.58989e+07	3.79317e+07	3.94618e+07	3.81774e+07
P0AGE9	SUCD_ECOLI	sucD	Succinyl-CoA ligase [ADP-forming] subunit alpha	11	11	3.92867e+07	4.29753e+07	4.3595e+07	4.39047e+07	4.41098e+07	4.46699e+07
P0AGF2	YGDK_ECOLI	ygdK	Uncharacterized SufE-like protein YgdK	4	4	7.73794e+06	7.95659e+06	8.80374e+06	9.1114e+06	9.71492e+06	8.87604e+06
