Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML
P08373	P08373		murB		1.79926e+06	1.72554e+06	1.82351e+06	1.92655e+06	1.72101e+06	1.78076e+06
P08390	P08390		usg		4.60313e+06	4.64149e+06	4.77193e+06	4.86357e+06	4.56632e+06	4.67804e+06
P08395	P08395		sppA		3.13545e+06	3.0334e+06	3.14442e+06	3.19521e+06	3.18971e+06	3.04913e+06
P08506	P08506		dacC		6.14532e+06	6.36212e+06	6.37365e+06	6.31586e+06	6.3665e+06	6.42572e+06
P08622	P08622		dnaJ		6.02669e+06	6.05853e+06	5.94823e+06	6.02833e+06	6.01698e+06	6.11627e+06
P08660	P08660		lysC		2.43939e+06	2.50241e+06	2.41312e+06	2.3556e+06	2.41558e+06	2.4898e+06
P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)				400991	353084	1.26377e+06	1.22782e+06	1.13968e+06	347019
P08839	P08839		ptsI		3.26556e+07	3.26192e+07	3.19738e+07	3.23871e+07	3.23069e+07	3.2841e+07
P08956	P08956		hsdR		2.42148e+06	2.42097e+06	2.44043e+06	2.40983e+06	2.43828e+06	2.35175e+06
P08957	P08957		hsdM		7.5755e+06	7.5109e+06	7.36381e+06	7.45896e+06	7.45078e+06	7.54095e+06
P08997	P08997		aceB		747147	894436	987837	901426	1.01963e+06	1.0051e+06
P09029	P09029		purK		1.12104e+06	1.11431e+06	1.05279e+06	1.08905e+06	1.08324e+06	1.1122e+06
P09030	P09030		xthA		3.60804e+06	3.51604e+06	3.53281e+06	3.58648e+06	3.53646e+06	3.632e+06
P09053	P09053		avtA		507317	494612	548990	474701	470319	492106
P09126	P09126		hemD		1.46129e+06	1.49833e+06	1.54664e+06	1.50026e+06	1.51361e+06	1.5623e+06
P09127	P09127		hemX		8.77267e+06	8.9787e+06	8.87089e+06	9.1122e+06	8.91824e+06	8.83353e+06
P09147	P09147		galE		8.48978e+06	8.59022e+06	8.50066e+06	8.52401e+06	8.59469e+06	8.87418e+06
P09148	P09148		galT		2.80066e+06	2.64503e+06	2.55044e+06	2.57202e+06	2.60113e+06	2.47071e+06
P09152	P09152		narG		2.32797e+06	2.31006e+06	2.33949e+06	2.41566e+06	2.34913e+06	2.27578e+06
P09155	P09155		rnd		2.2382e+06	2.27982e+06	2.30946e+06	2.44483e+06	2.35719e+06	2.30486e+06
P09158	P09158		speE		7.15541e+06	7.23764e+06	7.12392e+06	6.87506e+06	7.15124e+06	6.90136e+06
P09169	P09169		ompT		5.56318e+06	5.69656e+06	5.69569e+06	5.79361e+06	5.78123e+06	5.63208e+06
P09323	P09323		nagE		665490	744072	680194	733543	603562	783131
P09348	P09348		motA		1.01544e+06	1.06052e+06	1.04487e+06	1.02879e+06	1.08111e+06	1.02674e+06
P09372	P09372		grpE		4.7777e+07	4.79681e+07	4.68672e+07	4.86386e+07	4.63914e+07	4.91543e+07
P09373	P09373		pflB		2.81302e+08	2.80251e+08	2.79866e+08	2.76172e+08	2.76246e+08	2.80609e+08
P09394	P09394		glpQ		5.8184e+06	5.79404e+06	5.72154e+06	5.69532e+06	5.70102e+06	6.03702e+06
P09424	P09424		mtlD		2.44693e+06	2.4036e+06	2.3514e+06	2.2856e+06	2.31461e+06	2.39815e+06
P09546	P09546		putA		1.72453e+06	1.73978e+06	1.95471e+06	1.83702e+06	1.85732e+06	1.76655e+06
P09549	P09549		dedD		1.22397e+06	1.24617e+06	1.25625e+06	1.3069e+06	1.24738e+06	1.2101e+06
