Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML
P0A7N9	P0A7N9		rpmG		1.2238e+08	1.18776e+08	1.17995e+08	1.22524e+08	1.2115e+08	1.20609e+08
P0A7P5	P0A7P5		rpmH		2.82902e+07	3.03554e+07	2.82149e+07	2.7927e+07	2.73974e+07	2.78809e+07
P0A7Q1	P0A7Q1		rpmI		1.75426e+07	1.35917e+07	1.39813e+07	1.91327e+07	1.86851e+07	1.41366e+07
P0A7R1	P0A7R1		rplI		2.37378e+08	2.2457e+08	2.23686e+08	2.41472e+08	2.35228e+08	2.23235e+08
P0A7R5	P0A7R5		rpsJ		2.05934e+08	1.94768e+08	1.91309e+08	2.04908e+08	1.99214e+08	1.82872e+08
P0A7R9	P0A7R9		rpsK		1.15358e+08	1.1428e+08	1.16392e+08	1.15373e+08	1.17323e+08	1.14719e+08
P0A7S3	P0A7S3		rpsL		7.77399e+07	7.6245e+07	7.68199e+07	7.51114e+07	7.81809e+07	7.73854e+07
P0A7S9	P0A7S9		rpsM		2.93679e+07	3.20822e+07	3.13824e+07	2.94923e+07	2.92972e+07	3.2382e+07
P0A7T3	P0A7T3		rpsP		8.06416e+07	8.3867e+07	8.33855e+07	8.06962e+07	7.94488e+07	8.15345e+07
P0A7T7	P0A7T7		rpsR		7.82828e+07	7.14013e+07	7.10806e+07	7.81233e+07	8.08672e+07	7.42676e+07
P0A7U3	P0A7U3		rpsS		1.45607e+08	1.44649e+08	1.45025e+08	1.40573e+08	1.40697e+08	1.4425e+08
P0A7U7	P0A7U7		rpsT		3.19631e+07	3.49302e+07	3.412e+07	3.17357e+07	3.08041e+07	3.3263e+07
P0A7V0	P0A7V0		rpsB		8.60684e+07	9.43546e+07	9.22692e+07	8.56452e+07	8.66817e+07	9.32695e+07
P0A7V3	P0A7V3		rpsC		9.64223e+07	9.52899e+07	9.51362e+07	9.54707e+07	9.61568e+07	9.3049e+07
P0A7V8	P0A7V8		rpsD		1.503e+08	1.53291e+08	1.51022e+08	1.50787e+08	1.46187e+08	1.48219e+08
P0A7W1	P0A7W1		rpsE		1.2031e+08	1.19582e+08	1.22436e+08	1.19632e+08	1.19455e+08	1.20681e+08
P0A7W7	P0A7W7		rpsH		5.64657e+07	5.87578e+07	5.8073e+07	5.79956e+07	5.70584e+07	5.99485e+07
P0A7X3	P0A7X3		rpsI		7.51815e+07	7.81193e+07	8.01053e+07	7.67486e+07	7.8157e+07	8.09129e+07
P0A7X6	P0A7X6		rimM		7.78952e+06	7.55914e+06	7.27121e+06	7.54412e+06	7.48312e+06	7.71581e+06
P0A7Y0	P0A7Y0		rnc		9.79455e+06	1.01084e+07	9.79459e+06	1.01018e+07	1.02757e+07	9.95456e+06
P0A7Y8	P0A7Y8		rnpA		2.1566e+06	1.95077e+06	1.97426e+06	2.07943e+06	1.94887e+06	1.86284e+06
P0A7Z0	P0A7Z0		rpiA		2.18772e+07	2.11404e+07	2.12897e+07	2.1939e+07	2.20279e+07	2.18134e+07
P0A7Z4	P0A7Z4		rpoA		1.39489e+08	1.37205e+08	1.37443e+08	1.4091e+08	1.39474e+08	1.37104e+08
P0A800	P0A800		rpoZ		5.76445e+07	5.76008e+07	5.7954e+07	5.81658e+07	5.80275e+07	5.73554e+07
P0A805	P0A805		frr		2.6246e+07	2.71899e+07	2.76723e+07	2.66138e+07	2.52363e+07	2.64787e+07
P0A809	P0A809		ruvA		617092	588482	576470	669162	647719	506669
P0A812	P0A812		ruvB		1.16882e+06	1.12241e+06	1.15337e+06	1.20838e+06	1.16806e+06	1.07682e+06
P0A817	P0A817		metK		1.89242e+07	1.99164e+07	1.99115e+07	1.86771e+07	1.88608e+07	1.96424e+07
P0A821	P0A821		selA		1.39598e+06	1.40019e+06	1.41363e+06	1.40659e+06	1.48038e+06	1.39438e+06
P0A823	P0A823		sfsA		762428	671847	639761	742088	744739	733960
P0A825	P0A825		glyA		2.34472e+07	2.3693e+07	2.30898e+07	2.37776e+07	2.2856e+07	2.38029e+07
P0A832	P0A832		smpB		4.73782e+06	5.02268e+06	5.14928e+06	5.12394e+06	4.87814e+06	5.21842e+06
P0A836	P0A836		sucC		6.90174e+06	6.92036e+06	6.84984e+06	6.8007e+06	6.93708e+06	6.68161e+06
P0A840	P0A840		surE		1.67286e+06	1.80353e+06	1.74031e+06	1.79752e+06	1.72749e+06	1.66878e+06
P0A843	P0A843		tatE		8.91675e+06	8.81169e+06	8.57946e+06	9.23975e+06	9.30827e+06	9.069e+06
P0A847	P0A847		tgt		3.16857e+06	3.31157e+06	3.25104e+06	3.18417e+06	3.23903e+06	3.21265e+06
P0A850	P0A850		tig		1.35244e+08	1.34437e+08	1.34493e+08	1.35577e+08	1.34948e+08	1.35271e+08
P0A853	P0A853		tnaA		3.06726e+06	3.05706e+06	2.99098e+06	2.98352e+06	3.01582e+06	3.07266e+06
P0A855	P0A855		tolB		1.89271e+07	1.833e+07	1.84322e+07	1.85036e+07	1.85482e+07	1.8079e+07
P0A858	P0A858		tpiA		7.40318e+07	7.98123e+07	8.10271e+07	7.37844e+07	7.42751e+07	8.20858e+07
P0A862	P0A862		tpx		4.29818e+07	4.08628e+07	4.04361e+07	4.34964e+07	4.30585e+07	4.0585e+07
P0A867	P0A867		talA		4.45372e+06	4.71156e+06	4.6213e+06	4.50809e+06	4.40434e+06	4.75079e+06
P0A870	P0A870		talB		4.8053e+07	4.76659e+07	4.73375e+07	4.7814e+07	4.81126e+07	4.76313e+07
P0A873	P0A873		trmD		3.8268e+06	3.89286e+06	3.79956e+06	3.87397e+06	3.86177e+06	3.77196e+06
P0A877	P0A877		trpA		1.93158e+06	1.95933e+06	2.12144e+06	2.00929e+06	2.00759e+06	2.03712e+06
P0A879	P0A879		trpB		1.52751e+06	1.32572e+06	1.30756e+06	1.47335e+06	1.47829e+06	1.28897e+06
P0A881	P0A881		trpR		2.05305e+06	2.05508e+06	1.82105e+06	1.97167e+06	1.91837e+06	1.68535e+06
P0A884	P0A884		thyA		5.75639e+06	6.11182e+06	6.23085e+06	5.40049e+06	6.15774e+06	6.08233e+06
P0A887	P0A887		ubiE		8.25219e+06	8.07127e+06	8.07895e+06	8.24205e+06	8.24563e+06	8.11365e+06
P0A890	P0A890		tusA		2.24459e+06	2.12753e+06	2.1779e+06	2.10412e+06	1.96738e+06	2.05548e+06
P0A894	P0A894		yhbJ		1.60695e+06	1.47855e+06	1.58164e+06	1.55463e+06	1.65143e+06	1.54984e+06
P0A898	P0A898		ybeY		3.55619e+06	3.3598e+06	3.53804e+06	3.60683e+06	3.51693e+06	3.62711e+06
P0A8A0	P0A8A0		yebC		2.96014e+06	3.05917e+06	3.09874e+06	2.84039e+06	2.95171e+06	3.18578e+06
P0A8A2	P0A8A2		yeeN		9.39427e+06	9.61485e+06	9.29996e+06	9.88198e+06	9.4022e+06	9.20094e+06
P0A8A4	P0A8A4		ppsR		2.02864e+06	2.02069e+06	2.00775e+06	2.01342e+06	1.96938e+06	2.01661e+06
P0A8A8	P0A8A8		rimP		1.95193e+07	1.7997e+07	1.92471e+07	1.80906e+07	1.88027e+07	1.68786e+07
P0A8B2	P0A8B2		yfcN		1.58381e+06	1.67824e+06	1.68832e+06	1.63051e+06	1.74787e+06	1.42627e+06
P0A8B5	P0A8B5		ybaB		1.90683e+06	2.25301e+06	2.20994e+06	1.80966e+06	2.11419e+06	2.58448e+06
P0A8C1	P0A8C1		ybjQ		1.38803e+06	1.26894e+06	1.39905e+06	1.30708e+06	1.37182e+06	1.02603e+06
P0A8C4	P0A8C4		ygfB		3.29641e+06	3.30958e+06	3.5177e+06	3.14003e+06	3.39639e+06	3.65244e+06
P0A8D0	P0A8D0		nrdR		1.7989e+06	1.7338e+06	1.93188e+06	1.64816e+06	1.66907e+06	1.79137e+06
P0A8D3	P0A8D3		yaiI		2.05058e+06	1.9216e+06	2.01763e+06	1.97654e+06	1.96663e+06	2.01359e+06
