Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML
P0AD49	P0AD49		raiA		7.07443e+06	7.90089e+06	7.00792e+06	7.20239e+06	7.60167e+06	7.64224e+06
P0AD57	P0AD57		ispB		1.08485e+06	1.13688e+06	1.09227e+06	1.08078e+06	1.14652e+06	1.08081e+06
P0AD59	P0AD59		ivy		2.56622e+06	2.68037e+06	2.6325e+06	2.58898e+06	2.58599e+06	2.4747e+06
P0AD61	P0AD61		pykF		4.84847e+07	4.67761e+07	4.75846e+07	4.80391e+07	4.61417e+07	4.64681e+07
P0AD68	P0AD68		ftsI		1.38055e+06	1.47529e+06	1.32794e+06	1.33615e+06	1.41106e+06	1.32423e+06
P0AD70	P0AD70		ampH		1.37873e+06	1.58225e+06	1.33525e+06	1.36416e+06	1.55086e+06	1.62756e+06
P0ADA1	P0ADA1		tesA		2.03045e+06	1.72206e+06	1.94248e+06	2.018e+06	1.63466e+06	1.51695e+06
P0ADA3	P0ADA3		nlpD		5.7554e+06	6.307e+06	5.9059e+06	6.05658e+06	6.17245e+06	6.29969e+06
P0ADA5	P0ADA5		yajG		1.72363e+07	1.65106e+07	1.72192e+07	1.76951e+07	1.75966e+07	1.70556e+07
P0ADA7	P0ADA7		osmB		1.86056e+06	1.92998e+06	1.60333e+06	1.75804e+06	1.74172e+06	1.37267e+06
P0ADB1	P0ADB1		osmE		2.63719e+07	2.72349e+07	2.65568e+07	2.60092e+07	2.62309e+07	2.55546e+07
P0ADB7	P0ADB7		ecnB		1.20429e+07	1.15749e+07	1.25457e+07	1.11961e+07	1.1462e+07	1.11829e+07
P0ADC1	P0ADC1		lptE		1.15083e+06	823097	1.15917e+06	1.17645e+06	825723	794329
P0ADC3	P0ADC3		lolC		1.9375e+06	2.10039e+06	2.02501e+06	1.86514e+06	2.02363e+06	2.33387e+06
P0ADC6	P0ADC6		lptG		867956	1.01329e+06	812979	1.00629e+06	940979	919622
P0ADE4	P0ADE4		tamA		4.24081e+06	4.11242e+06	4.44036e+06	4.34645e+06	4.13297e+06	4.05795e+06
P0ADE6	P0ADE6		ygaU		649225	597132	614233	638184	604187	618788
P0ADE8	P0ADE8		ygfZ		1.05067e+07	1.11978e+07	1.06354e+07	1.05518e+07	1.11447e+07	1.09442e+07
P0ADF6	P0ADF6		edd		2.0011e+06	2.15345e+06	1.67701e+06	1.74327e+06	2.38036e+06	2.13736e+06
P0ADG4	P0ADG4		suhB		1.21831e+07	1.23341e+07	1.2259e+07	1.23634e+07	1.2106e+07	1.19173e+07
P0ADG7	P0ADG7		guaB		3.15447e+07	3.11746e+07	3.11709e+07	3.17358e+07	3.19762e+07	3.1011e+07
P0ADH5	P0ADH5		fimB		1.21303e+06	1.00877e+06	1.0999e+06	1.0453e+06	965102	1.05636e+06
P0ADI7	P0ADI7		yecD		8.70287e+06	7.8338e+06	8.33602e+06	8.5031e+06	8.01562e+06	7.30756e+06
P0ADK0	P0ADK0		yiaF		1.32273e+07	1.35457e+07	1.33859e+07	1.31038e+07	1.36442e+07	1.34551e+07
P0ADK8	P0ADK8		yibL		8.19357e+06	8.59808e+06	8.64565e+06	8.02352e+06	9.02348e+06	7.66305e+06
P0ADM8	P0ADM8		yieE		346405	766549	554018	355879	1.00589e+06	1.27294e+06
P0ADN2	P0ADN2		yifE		6.29417e+06	6.45021e+06	6.3775e+06	6.55796e+06	6.67381e+06	6.6157e+06
P0ADP0	P0ADP0		yigB		1.17296e+06	1.15554e+06	1.08205e+06	1.09599e+06	1.15797e+06	1.11104e+06
P0ADP7	P0ADP7		yigP		1.43581e+06	1.41492e+06	1.45054e+06	1.47472e+06	1.42536e+06	1.76356e+06
P0ADP9	P0ADP9		yihD		4.19614e+06	4.29038e+06	4.1898e+06	4.27658e+06	4.6475e+06	4.62148e+06
P0ADQ2	P0ADQ2		yiiD		8.74632e+06	7.95431e+06	8.07943e+06	8.17121e+06	7.96883e+06	7.66171e+06
P0ADQ7	P0ADQ7		ygaM		6.31804e+06	6.95215e+06	5.97955e+06	6.31387e+06	6.6684e+06	6.69031e+06
