Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P76372	P76372		wzzB		7631800.0	8393000.0	7868190.0	7868480.0	7682580.0	7969920.0	0	0.6470055889493826	-0.022639234619613098	False	0.039615589962626804	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P11875	P11875		argS		12849000.0	12442500.0	12555900.0	12568600.0	12640800.0	12431200.0	0	0.647098017006065	-0.007904569754673433	False	0.03964228510411105	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P31060	P31060		modF		326074.0	254723.0	222990.0	274963.0	301925.0	276512.0	0	0.6474569954764263	0.08640886629389323	False	0.0396689802455953	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0ADY1	P0ADY1		ppiD		23087300.0	22866700.0	22770500.0	22552600.0	22835900.0	23070800.0	0	0.6479090709747157	-0.005577964766398836	False	0.039695675387079556	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P03007	P03007		dnaQ		1444350.0	1576790.0	1340300.0	1539720.0	1425650.0	1512160.0	0	0.6486734794563497	0.03789855570807291	False	0.039722370528563804	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0AEG4	P0AEG4		dsbA		4045280.0	4257630.0	3851420.0	4131390.0	3956390.0	3854620.0	0	0.6490692614117757	-0.025377571462704446	False	0.03974906567004805	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P63883	P63883		amiC		1198320.0	1078720.0	1160480.0	1127790.0	1205510.0	1166640.0	0	0.6493318094916547	0.025962082568330134	False	0.0397757608115323	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P37651	P37651		bcsZ		2163530.0	2192960.0	2115970.0	2124100.0	2168010.0	2240910.0	0	0.6503946005947134	0.013435912117398119	False	0.03980245595301655	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P75914	P75914		ycdX		6044870.0	5816860.0	6318470.0	6171480.0	6318770.0	5954000.0	0	0.6519522766398058	0.020803055125320206	False	0.0398291510945008	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0A7Y0	P0A7Y0		rnc		9712240.0	9821500.0	9397110.0	9792470.0	9743810.0	9604530.0	0	0.6523837389979601	0.010432268362073744	False	0.03985584623598505	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P10408	P10408		secA		4961660.0	5015990.0	4868110.0	4910360.0	4789590.0	5026300.0	0	0.6524443362990959	-0.011660852474839853	False	0.0398825413774693	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
