Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0A9H5	P0A9H5		btuR		1028300.0	989814.0	1064050.0	1090590.0	955085.0	953303.0	0	0.39662955552896906	0.06563592222046254	False	0.027861996863565084	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0A836	P0A836		sucC		6776310.0	6809680.0	6731150.0	6866750.0	6808960.0	6588110.0	0	0.3968223765823013	0.01654989828792579	False	0.02788813382122321	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P04079	P04079		guaA		20005000.0	20137200.0	19864000.0	19879200.0	19327600.0	19612700.0	0	0.39722005516355363	-0.016611870695073958	False	0.027914270778881343	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0AAB8	P0AAB8		uspD		2555330.0	2466150.0	2237030.0	2314130.0	2439150.0	2266910.0	0	0.39818617887011215	-0.06024372310544094	False	0.02794040773653947	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P10903	P10903		narK		2280780.0	2365470.0	2266260.0	2544880.0	2274670.0	2094850.0	0	0.3987249821487631	0.07194875445214965	False	0.027966544694197595	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0A7U3	P0A7U3		rpsS		132027000.0	134665000.0	137755000.0	129837000.0	134422000.0	104395000.0	0	0.3994477612031199	0.11548828252405716	False	0.027992681651855728	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P66817	P66817		diaA		2573040.0	2394500.0	2573760.0	2454150.0	2615350.0	2476460.0	0	0.4008270499240827	0.03811005180247496	False	0.028018818609513853	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P31658	P31658		hchA		9030010.0	8824160.0	9253610.0	9060810.0	9052840.0	9169380.0	0	0.4011801213592893	0.018233790347706367	False	0.028044955567171983	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P18776	P18776		dmsB		2003440.0	1986100.0	2056280.0	1965090.0	1940410.0	2162020.0	0	0.40231683038305655	-0.045209177591646964	False	0.028071092524830112	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0AB80	P0AB80		ilvE		7847580.0	7999710.0	7961850.0	8027060.0	7871650.0	6378160.0	0	0.40240266302146604	0.10241527335655992	False	0.028097229482488238	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
