Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P21170	P21170		speA		7141010.0	7002420.0	7128500.0	6945820.0	6899430.0	6766220.0	0	0.2268028066726019	-0.03131081900629248	False	0.022864051585169267	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P24230	P24230		recG		226711.0	429527.0	185995.0	329457.0	410926.0	414902.0	0	0.22857975311778275	0.5112205221080065	False	0.022890918860827513	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P76007	P76007		cvrA		3507190.0	3589890.0	3748840.0	3487150.0	3946690.0	3482180.0	0	0.22877598024156354	-0.08534579048189403	False	0.022917786136485763	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P0AB46	P0AB46		ymgD		2722680.0	2596990.0	2735560.0	2702730.0	2668580.0	2664950.0	0	0.22937607628506756	-0.02907635269225604	False	0.02294465341214401	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P17443	P17443		murG		3050660.0	2920070.0	3010540.0	2920870.0	2903900.0	2901180.0	0	0.22996081693978163	-0.0363364939050116	False	0.02297152068780226	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P27859	P27859		tatD		1653490.0	1615050.0	1673170.0	1602900.0	1599890.0	1462650.0	0	0.23074704785815656	-0.0738842204342114	False	0.022998387963460508	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P75780	P75780		fiu		554331.0	664614.0	561555.0	564459.0	607006.0	655840.0	0	0.23099094344087415	0.12966566740495677	False	0.023025255239118754	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P38506	P38506		ygdG		579569.0	625312.0	593919.0	577795.0	571007.0	613060.0	0	0.2311508082811085	0.058087404728502046	False	0.023052122514777004	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P0A6F1	P0A6F1		carA		8708540.0	8606270.0	8682720.0	8429080.0	8557760.0	7986610.0	0	0.23138731081917396	-0.05248525231847689	False	0.023078989790435253	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P37634	P37634		rlmJ		5874190.0	5881920.0	6053810.0	5884410.0	6136770.0	5904750.0	0	0.231692134235233	-0.0317886710464758	False	0.0231058570660935	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P31808	P31808		yciK		3020450.0	3184350.0	3058980.0	3276630.0	2931880.0	2982880.0	0	0.23341953802342336	0.06763980456541421	False	0.02313272434175175	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P0AE22	P0AE22		aphA		1474960.0	1427830.0	1441730.0	1366600.0	1439950.0	1444160.0	0	0.23382363598214628	-0.039631483852512604	False	0.023159591617409995	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P0A935	P0A935		mltA		5467140.0	5652130.0	5515820.0	5452220.0	5443780.0	5661430.0	0	0.23454795210569143	0.029473407777637396	False	0.023186458893068244	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P13035	P13035		glpD		4418710.0	4458000.0	4327490.0	4565740.0	4243910.0	4328540.0	0	0.23515843448525858	0.03967246618465457	False	0.023213326168726494	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P0A8K1	P0A8K1		psd		4364070.0	4233150.0	4731700.0	4267840.0	4156940.0	3827660.0	0	0.23530197926612234	-0.10427256968985299	False	0.02324019344438474	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P0C093	P0C093		slmA		3444040.0	3692400.0	3443290.0	3445260.0	3492100.0	3600380.0	0	0.23586529803683015	0.0490034657853135	False	0.02326706072004299	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P0A9D2	P0A9D2		gstA		6657760.0	6563480.0	6575870.0	6886820.0	6531940.0	6787770.0	0	0.23617264328649643	0.03408215399928034	False	0.023293927995701236	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P14375	P14375		zraR		427228.0	323339.0	500522.0	376610.0	328255.0	309482.0	0	0.23639288224384378	-0.31529990930231916	False	0.02332079527135949	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P37440	P37440		ucpA		7652580.0	7616670.0	7317490.0	7544900.0	7471180.0	7793660.0	0	0.23704789465036938	0.03266984947319091	False	0.023347662547017735	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P05020	P05020		pyrC		6478300.0	6095010.0	6323530.0	5972570.0	6295010.0	6400990.0	0	0.2377133242535215	-0.04826176735777859	False	0.02337452982267598	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
Q46835	Q46835		yghG		1033520.0	1067810.0	1055220.0	1192490.0	1028670.0	1065170.0	0	0.23784092556814254	0.09321034614985216	False	0.02340139709833423	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P0AAI5	P0AAI5		fabF		36799900.0	36005300.0	37220000.0	36605600.0	36277600.0	36307300.0	0	0.23977935422975755	-0.0181550457381079	False	0.023428264373992477	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P0A6E9	P0A6E9		bioD2		5638250.0	5470300.0	5700860.0	5497650.0	5458280.0	5470070.0	0	0.239946358800102	-0.031200549299094184	False	0.02345513164965073	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
