Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0ACA3	P0ACA3		sspA		27257000.0	28048900.0	27673900.0	27951700.0	27106900.0	27487900.0	0	0.11675488684986504	-0.025288685657583913	False	0.022641509433962266	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P63389	P63389		yheS		4027650.0	4108000.0	3909560.0	4181900.0	3670850.0	4131330.0	0	0.117363912150879	-0.0976811605089977	False	0.022667714884696016	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0A9A6	P0A9A6		ftsZ		13493300.0	13870900.0	13578700.0	14292800.0	13923400.0	13938500.0	0	0.1175647443963892	-0.038433584257737796	False	0.02269392033542977	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0AA10	P0AA10		rplM		67959600.0	68666100.0	69799800.0	65655700.0	71864500.0	66616600.0	0	0.11775337181850729	0.06104991901306468	False	0.022720125786163524	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P27245	P27245		marR		369822.0	337618.0	330671.0	303387.0	342575.0	307734.0	0	0.11804000501635913	0.13675005488399655	False	0.022746331236897278	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P69488	P69488		cutA		599812.0	415444.0	526649.0	557420.0	621760.0	465089.0	0	0.11899796546549499	0.28187105198761886	False	0.022772536687631028	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P75823	P75823		ltaE		6397290.0	7064860.0	6979500.0	7315280.0	5992790.0	7164410.0	0	0.11931204084149143	-0.15353029363584847	False	0.02279874213836478	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P07003	P07003		poxB		2410120.0	2339100.0	2366940.0	2350090.0	2373120.0	2264380.0	0	0.11946865839965398	0.040225705647436605	False	0.022824947589098536	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P77567	P77567		nhoA		313964.0	263285.0	310112.0	218923.0	304265.0	288413.0	0	0.11984440077773148	0.2686333351648279	False	0.022851153039832286	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0ABS1	P0ABS1		dksA		23193900.0	23750800.0	23261800.0	23983600.0	23691400.0	24847100.0	0	0.11992311374097371	-0.049218410851755615	False	0.02287735849056604	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
