Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P37657	P37657		bcsE		1185290.0	1223600.0	1227780.0	1228110.0	1136840.0	1228680.0	0	0.694154608113261	-0.017439536669859264	False	0.04220985691573927	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0AG16	P0AG16		purF		974905.0	988164.0	1012100.0	886268.0	951649.0	935993.0	0	0.6945620513861206	0.025298280611436907	False	0.042236354001059885	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0AGD1	P0AGD1		sodC		747416.0	732096.0	871639.0	843757.0	968704.0	625538.0	0	0.6953776744021283	0.08594697250828891	False	0.0422628510863805	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0AAS7	P0AAS7		ybcJ		2845120.0	2765660.0	2853080.0	2751870.0	2678950.0	2936600.0	0	0.6975949233810081	0.018168415132993776	False	0.042289348171701116	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P43671	P43671		pqiB		1028120.0	1098780.0	1013720.0	1008800.0	1082330.0	1084710.0	0	0.6977723207712024	0.020583979422625177	False	0.042315845257021735	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P45577	P45577		proQ		13269700.0	13179600.0	12952600.0	13278000.0	13752900.0	13333700.0	0	0.6980158575180364	0.011282402426104171	False	0.04234234234234235	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0A784	P0A784		orn		2931400.0	2884280.0	2935360.0	3020760.0	2907800.0	2939080.0	0	0.6998337187390524	-0.008876296962179802	False	0.04236883942766296	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P77454	P77454		glsA1		1656390.0	1658430.0	1583290.0	1552200.0	1651240.0	1579610.0	0	0.700006739525993	-0.015760605646551636	False	0.04239533651298357	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P26612	P26612		amyA		626161.0	722797.0	683139.0	694526.0	716051.0	683726.0	0	0.7017186112335485	0.027573711993499214	False	0.04242183359830419	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0AEV1	P0AEV1		hnr		439337.0	451660.0	476241.0	437442.0	429424.0	441711.0	0	0.7032703991704059	0.02042052392884836	False	0.04244833068362481	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0ACB7	P0ACB7		hemY		5530110.0	5642790.0	5623880.0	5742520.0	5718960.0	5449430.0	0	0.7035933126718843	-0.010541730079145549	False	0.04247482776894542	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0AGG8	P0AGG8		tldD		3322870.0	3382040.0	3442820.0	3370850.0	3486280.0	3245470.0	0	0.7039894816748169	0.014079161015433479	False	0.04250132485426603	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P64604	P64604		mlaD		13083400.0	13486000.0	13191900.0	13342500.0	13288900.0	13274100.0	0	0.7045416261508992	-0.005686268675103865	False	0.042527821939586645	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
