protein	RD139_Wide_UPS1_0_1fmol_inj1	RD139_Wide_UPS1_0_1fmol_inj2	RD139_Wide_UPS1_0_1fmol_inj3	RD139_Wide_UPS1_25fmol_inj1	RD139_Wide_UPS1_25fmol_inj2	RD139_Wide_UPS1_25fmol_inj3	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0A7B1	6958567.576461248	7288741.950649041	7312491.62963818	7597952.621403179	7697615.790411847	7641710.996938498	P0A7B1	P0A7B1		ppk	0	0.04928213857301269	-0.08935041104618152	False	0.006764551651809125	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0A6Q6	68298853.68420285	67379838.81768505	65633922.74183608	71359853.71523775	68659828.61601715	70776594.81744961	P0A6Q6	P0A6Q6		fabZ	0	0.04943328546396921	-0.06641180641618476	False	0.0067907708442579975	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P76193	7423512.895871186	7181058.384825675	7459309.171001928	6963498.586387359	7021125.852704737	7050113.186301273	P76193	P76193		ynhG	0	0.04975397673674181	0.06891272214601755	False	0.0068169900367068695	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P37636	17961043.741717167	18536831.955342814	18539591.483697843	17791538.2178429	17522378.39545265	17590261.93821132	P37636	P37636		mdtE	0	0.04990614436606566	0.05703240308442327	False	0.006843209229155742	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P00363	227504254.3668992	237055890.40289623	238316644.90240493	251279578.4109525	247618943.91128615	241498215.59623957	P00363	P00363		frdA	0	0.050003047302617336	-0.07502672373977941	False	0.006869428421604615	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P77756	1959512.9608542172	1645102.1250000007	1627222.9387851432	1387598.1992025024	1232175.981543149	1470205.0120402398	P77756	P77756		queC	0	0.050394948610500936	0.35522437266499873	False	0.006895647614053487	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P62937ups|PPIA_HUMAN_UPS Peptidyl-prolyl cis-trans isomerase A (Chain 1-165, N terminal His tag)- Homo sapiens (Human)	7542860.930765432	10486147.197468745	9541984.120751338	13075378.328471538	12016255.980232632	12180683.5377268	P62937ups|PPIA_HUMAN_UPS Peptidyl-prolyl cis-trans isomerase A (Chain 1-165, N terminal His tag)- Homo sapiens (Human)	P62937ups|PPIA_HUMAN_UPS Peptidyl-prolyl cis-trans isomerase A (Chain 1-165, N terminal His tag)- Homo sapiens (Human)			0	0.05086355472230049	-0.4349533492008545	False	0.00692186680650236	False	False	Human	True	False	False	False	msfragger	directlfq	min	1.660964047443681
P0AF67	10037785.215149945	10309512.17983186	10454943.0988495	9949702.490367606	9793336.75413226	9749374.988951914	P0AF67	P0AF67		yjeE	0	0.05100869641053213	0.0626913680227311	False	0.006948085998951232	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0AB89	45530455.93056834	46520825.42632708	45630978.689853854	48406972.73000161	46986527.729052335	49187840.1562346	P0AB89	P0AB89		purB	0	0.05137498856945655	-0.07053868846063208	False	0.006974305191400105	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0A9K9	135296294.83020177	141347379.0846355	128848956.55878712	142416220.15730777	153910480.46666726	149960457.0839768	P0A9K9	P0A9K9		slyD	0	0.05145511018229256	-0.13829659763823976	False	0.007000524383848978	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P07862	24128757.86498144	23299601.1530778	23484231.95937466	23113371.295371428	22082880.401753437	22450868.6926322	P07862	P07862		ddlB	0	0.051994878490010187	0.06801328710170025	False	0.00702674357629785	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0AFK0	36499226.109494485	37907308.94441571	38316977.89074606	40728988.21818128	38667943.25110299	40094493.81517458	P0AFK0	P0AFK0		pmbA	0	0.05211742101962047	-0.08411861601168702	False	0.007052962768746723	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P37671	127547.5033609696	50469.57812000002	99576.70721372534	246742.19847940604	141738.36250431923	219478.45304130897	P37671	P37671		yiaJ	1	0.052291424728991974	-1.1309987794430407	False	0.007079181961195595	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P75713	560865.5957784202	643642.8750000006	576335.6409532669	481970.32347395824	498037.2608398196	536124.7379748899	P75713	P75713		ylbA	0	0.05246156271656521	0.23216556200723346	False	0.007105401153644468	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P39337	543736.0217678993	359585.74999999965	328141.9750576153	681713.157800857	586762.4085749922	678551.9434179484	P39337	P39337		yjgM	0	0.05301960837841395	-0.6608991113897952	False	0.0071316203460933415	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P00452	96436648.30192666	96718326.42741434	97461249.7075909	92939513.32973205	95241057.24203049	92201026.2865921	P00452	P00452		nrdA	0	0.053163843121704225	0.05172358792630573	False	0.0071578395385422135	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P62556	13566509.242729314	14105669.111854488	13141012.280763648	15138276.13056807	14316183.432877976	14440724.90882021	P62556	P62556		sopA	0	0.05378275493353114	-0.10502717740983472	False	0.007184058730991086	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	64560.320582223394	19251525.69518892	19364337.22791704	37688273.39156381	38772190.58233213	40175374.53220391	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)			1	0.05422241061127135	-1.592335665161364	False	0.007210277923439958	False	False	Human	True	False	False	False	msfragger	directlfq	min	1.660964047443681
P0ADK8	15523306.981099015	15199393.045333529	15583008.039933167	16008995.682093307	17114631.762614932	16684305.997403208	P0ADK8	P0ADK8		yibL	0	0.054408312612012295	-0.10518550978782816	False	0.007236497115888831	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0A8U6	19508159.7706988	20808855.6257366	20491149.764906235	21865482.71963286	21870118.59594738	21876365.075349443	P0A8U6	P0A8U6		metJ	0	0.05489419216158285	-0.10969390133982301	False	0.007262716308337704	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0A6I3	10207373.939796451	9430704.643549643	9419997.568991736	8579660.209896274	8751275.299025858	8891419.975244392	P0A6I3	P0A6I3		coaA	0	0.05572589530728882	0.14814190481777065	False	0.007288935500786576	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P36672	4416510.493234011	4507824.795314848	4352055.166001511	4280309.06078206	4225762.33675217	4044252.812206405	P36672	P36672		treB	0	0.055742553617619116	0.0811383308908516	False	0.007315154693235449	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P26646	22523813.535837915	21702329.30212125	21964271.183897592	24923297.09363696	23894454.51082279	23043471.325134505	P26646	P26646		acuI	0	0.05617498589240506	-0.11859119232897511	False	0.007341373885684321	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
