Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P75915	P75915		ycdY		6203150.0	6244780.0	6008250.0	6395700.0	6215420.0	6160940.0	0	0.35912493730940787	0.024482997122367026	False	0.03211814795103779	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
P52613	P52613		fliJ		432528.0	409054.0	299734.0	359150.0	320420.0	316288.0	0	0.3593358523551622	-0.1966863434585626	False	0.03214475784992017	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
P45475	P45475		yhbV		1326230.0	1218810.0	1180880.0	1146610.0	1180530.0	1236630.0	0	0.3594676662316708	-0.06419246756786248	False	0.032171367748802554	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
P0A8S1	P0A8S1		iciA		3146820.0	3212320.0	3216060.0	3332020.0	3161710.0	3257000.0	0	0.3642683799366697	0.026207610640753352	False	0.032197977647684936	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
P0A6Y5	P0A6Y5		hslO		6262220.0	6581810.0	6787380.0	6806750.0	6692510.0	6665670.0	0	0.36525552326698324	0.038684601435087194	False	0.032224587546567325	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
P0ABG4	P0ABG4		ftsW		273283.0	234261.0	285172.0	278612.0	316767.0	264423.0	0	0.3654510452412706	0.11720037048429328	False	0.03225119744544971	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
P24554	P24554		radA		1701990.0	1730840.0	1827270.0	1863970.0	1711800.0	1899100.0	0	0.3654672010641554	0.05773448161521875	False	0.032277807344332096	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
P63224	P63224		gmhA		19055300.0	19654900.0	19438900.0	19009000.0	19261000.0	19256100.0	0	0.3665470201926502	-0.015540197051188599	False	0.03230441724321448	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
P04805	P04805		gltX		23612000.0	23956400.0	23585800.0	23742200.0	23583400.0	23264700.0	0	0.36683597820482816	-0.011478964269848218	False	0.03233102714209686	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
P0A8T1	P0A8T1		prmA		6304410.0	6193420.0	6742050.0	6862910.0	6514460.0	6497370.0	0	0.36708899719212984	0.046836186299890024	False	0.03235763704097925	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
