Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML
P23305	YIGA_ECOLI	yigA	Uncharacterized protein YigA	6	6	5.7671e+06	6.05818e+06	5.67393e+06	5.71935e+06	5.53478e+06	5.44683e+06
P23331	KITH_ECOLI	tdk	Thymidine kinase	6	6	1.63427e+07	1.65877e+07	1.51236e+07	1.59522e+07	1.49681e+07	1.51063e+07
P23367	MUTL_ECOLI	mutL	DNA mismatch repair protein MutL	2	2	1.6943e+06	1.53548e+06	871460	1.79176e+06	1.09926e+06	1.38781e+06
P23538	PPSA_ECOLI	ppsA	Phosphoenolpyruvate synthase	15	15	2.26783e+07	2.21944e+07	2.2779e+07	2.2537e+07	2.18605e+07	2.2595e+07
P23721	SERC_ECOLI	serC	Phosphoserine aminotransferase	17	17	4.83135e+07	4.99061e+07	4.83223e+07	4.89638e+07	4.6971e+07	4.7723e+07
P23827	ECOT_ECOLI	eco	Ecotin	6	6	4.88926e+07	4.88304e+07	5.17062e+07	4.91598e+07	4.94368e+07	5.02285e+07
P23830	PSS_ECOLI	pssA	CDP-diacylglycerol--serine O-phosphatidyltransferase	10	10	4.61031e+06	4.57053e+06	4.31301e+06	4.53277e+06	4.15048e+06	4.37375e+06
P23836	PHOP_ECOLI	phoP	Transcriptional regulatory protein PhoP	13	13	5.59789e+07	5.58718e+07	5.93802e+07	5.65758e+07	5.64432e+07	5.81588e+07
P23837	PHOQ_ECOLI	phoQ	Sensor protein PhoQ	3	3	2.08484e+06	1.91777e+06	1.66814e+06	1.81145e+06	2.22777e+06	1.93024e+06
P23839	YICC_ECOLI	yicC	UPF0701 protein YicC	13	13	2.39544e+07	2.39589e+07	2.72233e+07	2.41675e+07	2.71094e+07	2.8622e+07
P23843	OPPA_ECOLI	oppA	Periplasmic oligopeptide-binding protein	22	22	2.40081e+07	2.43665e+07	2.6629e+07	2.46982e+07	2.63936e+07	2.66872e+07
P23845	CYSN_ECOLI	cysN	Sulfate adenylyltransferase subunit 1	13	13	1.22785e+07	1.19721e+07	1.20764e+07	1.29744e+07	1.20003e+07	1.17583e+07
P23847	DPPA_ECOLI	dppA	Periplasmic dipeptide transport protein	2	2	761975	1.06032e+06	1.58547e+06	1.17439e+06	1.42309e+06	1.17917e+06
P23857	PSPE_ECOLI	pspE	Thiosulfate sulfurtransferase PspE	2	2	1.58894e+07	1.62847e+07	1.90451e+07	1.49164e+07	1.85239e+07	1.95014e+07
