Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML
P0A6N8	P0A6N8		yeiP		1.47508e+07	1.56298e+07	1.46774e+07	1.57742e+07	1.52089e+07	1.59796e+07
P0A6P1	P0A6P1		tsf		1.77587e+08	1.78517e+08	1.74108e+08	1.74407e+08	1.7301e+08	1.75979e+08
P0A6P5	P0A6P5		der		5.0313e+06	4.8707e+06	4.83232e+06	4.75494e+06	4.68266e+06	4.70116e+06
P0A6P7	P0A6P7		engB		8.70403e+06	8.89886e+06	8.64837e+06	9.07498e+06	9.24783e+06	9.10911e+06
P0A6P9	P0A6P9		eno		1.641e+08	1.62566e+08	1.59256e+08	1.62953e+08	1.59432e+08	1.62652e+08
P0A6Q3	P0A6Q3		fabA		1.44362e+07	1.41642e+07	1.40425e+07	1.44249e+07	1.40505e+07	1.45787e+07
P0A6Q6	P0A6Q6		fabZ		2.08762e+07	2.16199e+07	2.10103e+07	1.9853e+07	2.02103e+07	2.01815e+07
P0A6R0	P0A6R0		fabH		1.82392e+07	1.83296e+07	1.8779e+07	1.81572e+07	1.83415e+07	1.76813e+07
P0A6R3	P0A6R3		fis		4.90073e+06	4.74529e+06	4.99136e+06	5.1519e+06	5.41047e+06	5.28569e+06
P0A6S0	P0A6S0		flgH		2.04076e+06	2.00016e+06	2.12108e+06	2.20462e+06	2.1673e+06	2.19473e+06
P0A6S7	P0A6S7		gpsA		5.56608e+06	5.5796e+06	5.50315e+06	5.4884e+06	5.35675e+06	5.5524e+06
P0A6T1	P0A6T1		pgi		3.86455e+07	3.88298e+07	3.8652e+07	3.89661e+07	3.97682e+07	3.98092e+07
P0A6T3	P0A6T3		galK		3.51047e+06	3.53203e+06	3.4821e+06	3.6401e+06	3.62934e+06	3.64598e+06
P0A6T5	P0A6T5		folE		4.51521e+06	4.58414e+06	4.2835e+06	4.35739e+06	4.22468e+06	4.20987e+06
P0A6T9	P0A6T9		gcvH		1.40642e+06	1.50883e+06	1.34567e+06	1.3766e+06	1.42938e+06	1.35268e+06
P0A6U3	P0A6U3		mnmG		6.80712e+06	6.97747e+06	6.85689e+06	7.14007e+06	6.98198e+06	7.04128e+06
P0A6U5	P0A6U5		rsmG		5.45145e+06	5.71739e+06	5.48953e+06	5.77433e+06	5.88612e+06	5.91255e+06
P0A6U8	P0A6U8		glgA		3.22885e+06	3.10636e+06	3.07764e+06	3.21594e+06	3.07265e+06	3.10507e+06
P0A6V1	P0A6V1		glgC		7.67766e+06	7.36099e+06	7.28731e+06	7.53848e+06	7.40909e+06	7.60871e+06
P0A6V8	P0A6V8		glk		1.06079e+07	1.04056e+07	1.04041e+07	1.05121e+07	1.03798e+07	1.04856e+07
