Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML
P29680	P29680		hemE		5.99051e+06	5.91568e+06	5.83468e+06	5.85643e+06	5.84633e+06	5.81779e+06
P29744	P29744		flgL		2.49518e+06	2.88283e+06	2.67269e+06	2.68783e+06	2.61274e+06	2.29929e+06
P29745	P29745		pepT		6.74407e+06	6.65888e+06	6.69088e+06	6.48224e+06	6.87936e+06	6.6214e+06
P30011	P30011		nadC		2.05369e+06	2.06657e+06	2.04294e+06	2.04995e+06	1.94972e+06	1.98114e+06
P30014	P30014		rnt		5.6748e+06	5.34309e+06	5.33445e+06	5.49158e+06	5.45263e+06	5.64681e+06
P30125	P30125		leuB		764980	749061	738020	675828	717985	674890
P30126	P30126		leuD		333078	530496	521516	395421	462726	338027
P30128	P30128		greB		2.10297e+06	2.1187e+06	2.25968e+06	2.04586e+06	1.96854e+06	2.05726e+06
P30130	P30130		fimD		1.29751e+07	1.24121e+07	1.33912e+07	1.23206e+07	1.41372e+07	1.34755e+07
P30177	P30177		ybiB		8.4465e+06	8.34665e+06	8.54636e+06	8.28079e+06	8.41614e+06	8.15564e+06
P30178	P30178		ybiC		2.34076e+06	2.21166e+06	2.37644e+06	2.29103e+06	2.39691e+06	2.51035e+06
P30744	P30744		sdaB		5.81165e+06	5.80078e+06	5.64648e+06	5.69973e+06	5.70904e+06	5.74121e+06
P30749	P30749		moaE		3.42135e+06	3.36048e+06	3.25955e+06	3.37369e+06	3.43742e+06	3.20366e+06
P30843	P30843		basR		1.90505e+06	1.77244e+06	1.70528e+06	1.78849e+06	1.93041e+06	2.00737e+06
P30850	P30850		rnb		6.66536e+06	6.5934e+06	6.60889e+06	6.60011e+06	6.58368e+06	6.59519e+06
P30852	P30852		smf		2.1082e+06	2.00243e+06	1.90859e+06	1.95211e+06	1.80483e+06	1.87117e+06
P30859	P30859		artI		2.63351e+06	2.54562e+06	2.54093e+06	2.53177e+06	2.62366e+06	2.52146e+06
P30870	P30870		glnE		588654	606703	589305	598002	588107	573996
P30871	P30871		ygiF		3.47756e+06	3.58204e+06	3.69279e+06	3.60833e+06	3.6239e+06	3.54392e+06
P30958	P30958		mfd		6.92455e+06	6.59262e+06	6.59289e+06	6.47057e+06	6.53814e+06	6.4426e+06
P31057	P31057		panB		6.7905e+06	7.10969e+06	7.01457e+06	7.072e+06	7.03413e+06	6.87908e+06
P31060	P31060		modF		273198	288727	286248	337628	319572	261305
P31063	P31063		yedD		5.69503e+06	5.55002e+06	5.29721e+06	5.51652e+06	5.51014e+06	5.28449e+06
P31068	P31068		fliH		895683	853772	881196	891488	861219	824401
P31069	P31069		kch		857398	1.02243e+06	1.12088e+06	1.01131e+06	1.14631e+06	984433
P31119	P31119		aas		1.89304e+06	1.90693e+06	1.81637e+06	1.92035e+06	1.8054e+06	1.8714e+06
