Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML
P0A8R9	P0A8R9		hdfR		1.41912e+06	1.43697e+06	1.69296e+06	1.46114e+06	1.56797e+06	1.71671e+06
P0A8S1	P0A8S1		iciA		3.03297e+06	2.95471e+06	3.1278e+06	3.00147e+06	2.8967e+06	3.14665e+06
P0A8T1	P0A8T1		prmA		6.07687e+06	6.06771e+06	5.98725e+06	6.14176e+06	5.93876e+06	5.80956e+06
P0A8T7	P0A8T7		rpoC		4.92116e+07	5.10828e+07	5.10089e+07	5.07128e+07	4.97669e+07	4.94458e+07
P0A8U0	P0A8U0		syd		454489	645891	597369	622098	615400	582264
P0A8U6	P0A8U6		metJ		7.17756e+06	7.78838e+06	8.04821e+06	7.94306e+06	7.43225e+06	7.52629e+06
P0A8V2	P0A8V2		rpoB		6.46647e+07	6.45117e+07	6.51805e+07	6.55331e+07	6.46413e+07	6.46465e+07
P0A8V6	P0A8V6		fadR		6.59709e+06	6.43375e+06	6.70154e+06	6.74494e+06	6.70826e+06	6.63175e+06
P0A8W0	P0A8W0		nanR		2.49004e+06	2.37321e+06	2.31023e+06	2.29583e+06	2.4537e+06	2.38376e+06
P0A8W2	P0A8W2		slyA		8.08766e+06	7.95344e+06	7.34465e+06	7.54007e+06	8.18234e+06	8.23353e+06
P0A8W5	P0A8W5		yqgE		2.74651e+06	2.7874e+06	2.84679e+06	2.95983e+06	2.65775e+06	2.68888e+06
P0A8W8	P0A8W8		yfbU		1.70626e+07	1.6757e+07	1.71675e+07	1.69819e+07	1.71694e+07	1.73309e+07
P0A8X0	P0A8X0		yjgA		7.52426e+06	7.5623e+06	7.43878e+06	7.42858e+06	7.13539e+06	7.53311e+06
P0A8X2	P0A8X2		yceI		942756	1.13135e+06	1.12e+06	1.09742e+06	944540	1.02722e+06
P0A8Y1	P0A8Y1		yjjG		1.0682e+06	1.12885e+06	1.15766e+06	1.11928e+06	1.20601e+06	1.10623e+06
P0A8Y3	P0A8Y3		yihX		2.54688e+06	2.64848e+06	2.66124e+06	2.61887e+06	2.60742e+06	2.62321e+06
P0A8Y5	P0A8Y5		yidA		4.24295e+06	4.22009e+06	4.33714e+06	4.31621e+06	4.29821e+06	4.39554e+06
P0A8Z0	P0A8Z0		yciA		1.92499e+06	1.91364e+06	1.90576e+06	1.97964e+06	2.00279e+06	1.91285e+06
