Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML
P17315	P17315		cirA		2.13286e+06	2.13199e+06	2.13268e+06	2.33265e+06	2.23124e+06	2.03291e+06
P17443	P17443		murG		2.97723e+06	2.92369e+06	3.03038e+06	2.85906e+06	2.98884e+06	3.05048e+06
P17445	P17445		betB		644645	650242	741917	723001	675541	681153
P17846	P17846		cysI		5.56141e+06	5.42903e+06	5.48062e+06	5.59266e+06	5.62798e+06	5.0482e+06
P17854	P17854		cysH		2.08823e+07	2.14607e+07	2.13645e+07	2.11921e+07	2.0658e+07	2.07081e+07
P17952	P17952		murC		2.02063e+06	1.99678e+06	2.11313e+06	2.0277e+06	2.09764e+06	2.10899e+06
P17993	P17993		ubiG		2.34403e+06	2.34519e+06	2.46743e+06	2.42859e+06	2.43181e+06	2.07533e+06
P18133	P18133		pncB		1.63568e+06	1.58249e+06	1.5937e+06	1.56319e+06	1.48776e+06	1.68932e+06
P18196	P18196		minC		2.08663e+06	2.16594e+06	2.11267e+06	1.98998e+06	2.15862e+06	2.29263e+06
P18390	P18390		yjjA		1.38302e+06	1.40703e+06	1.50524e+06	1.49104e+06	1.48723e+06	1.37169e+06
P18775	P18775		dmsA		8.9066e+06	8.55906e+06	8.84552e+06	8.77742e+06	8.64724e+06	9.41821e+06
P18776	P18776		dmsB		2.15444e+06	2.07339e+06	2.30328e+06	2.20651e+06	2.24665e+06	2.21466e+06
P18843	P18843		nadE		1.06648e+07	1.06839e+07	1.07287e+07	1.0605e+07	1.09434e+07	1.12755e+07
P19624	P19624		pdxA		420819	446960	410229	375316	426443	421196
P19926	P19926		agp		3.18839e+06	3.08404e+06	3.11267e+06	3.12273e+06	3.1976e+06	3.3097e+06
P19931	P19931		hyaE		1.4082e+06	1.44796e+06	1.58605e+06	1.52736e+06	1.37407e+06	1.40709e+06
P19934	P19934		tolA		1.55265e+06	1.53935e+06	1.59596e+06	1.6162e+06	1.55751e+06	1.51179e+06
P20083	P20083		parE		1.80616e+06	1.77871e+06	1.72642e+06	1.74416e+06	1.7973e+06	1.72533e+06
P20966	P20966		fruA		1.07988e+07	1.08306e+07	1.10903e+07	1.13601e+07	1.1189e+07	9.76584e+06
P21156	P21156		cysD		2.58527e+06	2.59316e+06	2.64362e+06	2.55319e+06	2.59188e+06	2.4409e+06
P21165	P21165		pepQ		1.65581e+07	1.62851e+07	1.61487e+07	1.62211e+07	1.60905e+07	1.54645e+07
P21170	P21170		speA		7.16426e+06	7.41059e+06	7.72038e+06	7.45302e+06	7.62934e+06	6.93482e+06
P21179	P21179		katE		687275	672405	670984	736955	650545	746960
P21338	P21338		rna		2.75161e+06	2.6651e+06	2.84879e+06	2.68945e+06	2.80931e+06	2.79834e+06
