Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML
P25539	P25539		ribD		3.71775e+06	3.69127e+06	3.65359e+06	3.67028e+06	3.77059e+06	3.85119e+06
P25552	P25552		gppA		2.32848e+06	2.63329e+06	2.46052e+06	2.62167e+06	2.51354e+06	2.80551e+06
P25553	P25553		aldA		228470	272052	252427	199832	188450	199465
P25714	P25714		yidC		5.69541e+06	5.60796e+06	5.6045e+06	5.49699e+06	5.67316e+06	5.60439e+06
P25736	P25736		endA		1.64092e+06	1.64474e+06	1.66305e+06	1.80548e+06	1.72992e+06	1.75896e+06
P25745	P25745		mnmA		4.24174e+06	4.04596e+06	4.23532e+06	4.04776e+06	4.27538e+06	4.07961e+06
P25746	P25746		hflD		2.84295e+06	2.94568e+06	2.89672e+06	2.86923e+06	2.85693e+06	2.8955e+06
P25772	P25772		ligB		711020	690220	691895	669265	595340	695658
P25798	P25798		fliF		1.36738e+06	1.27455e+06	1.35623e+06	1.22606e+06	1.33702e+06	1.25231e+06
P25888	P25888		rhlE		2.57891e+06	2.4286e+06	2.53527e+06	2.52957e+06	2.50206e+06	2.51479e+06
P25894	P25894		yggG		894928	783258	853658	858456	786526	742943
P25906	P25906		ydbC		1.99029e+06	1.86768e+06	1.98955e+06	2.05053e+06	2.07575e+06	1.84257e+06
P26602	P26602		ubiC		850632	764323	740125	829902	858976	775594
P26608	P26608		fliS		5.03312e+06	4.63546e+06	4.84692e+06	4.28585e+06	4.9488e+06	4.49714e+06
P26612	P26612		amyA		1.14126e+06	1.04867e+06	1.11854e+06	1.01642e+06	1.21173e+06	1.11791e+06
P26616	P26616		maeA		8.72772e+06	8.51055e+06	8.83588e+06	8.52899e+06	8.48665e+06	8.56017e+06
P26646	P26646		acuI		7.97095e+06	7.43659e+06	7.69308e+06	7.64732e+06	7.95534e+06	7.76242e+06
P26647	P26647		plsC		1.12734e+06	1.19179e+06	1.09087e+06	1.09199e+06	1.05654e+06	1.22428e+06
P26648	P26648		ftsP		757686	842129	798818	795148	885201	817008
P27238	P27238		yfeD		1.01663e+06	1.0072e+06	1.08148e+06	942852	1.07771e+06	933045
P27245	P27245		marR		372922	405584	331463	378922	363722	419090
P27248	P27248		gcvT		8.26393e+06	7.78674e+06	8.04294e+06	7.96822e+06	8.06368e+06	8.01712e+06
P27249	P27249		glnD		214828	261856	264020	317092	239416	181289
P27250	P27250		yjgB		654648	683881	723626	721465	390268	600313
P27253	P27253		scpA		607116	680511	733789	650972	751009	499878
P27278	P27278		nadR		681026	593720	626359	627925	657700	696701
P27298	P27298		prlC		1.71576e+07	1.71788e+07	1.70249e+07	1.68256e+07	1.70103e+07	1.70541e+07
P27302	P27302		tktA		2.98374e+07	2.82903e+07	2.99235e+07	2.84985e+07	2.96483e+07	2.87801e+07
P27303	P27303		emrA		1.43836e+06	1.48235e+06	1.40233e+06	1.51081e+06	1.41593e+06	1.4752e+06
P27306	P27306		sthA		957831	986220	939453	948819	913976	887502
P27431	P27431		ycfD		4.83168e+06	4.88896e+06	4.82799e+06	4.82306e+06	4.37025e+06	4.54622e+06
P27434	P27434		rodZ		1.06597e+07	1.0224e+07	1.01213e+07	1.02299e+07	1.0149e+07	9.75746e+06
