Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML
P0AG16	P0AG16		purF		1.0971e+06	1.02211e+06	1.05943e+06	1.0782e+06	1.06511e+06	997652
P0AG18	P0AG18		purE		1.37324e+06	1.07124e+06	1.26844e+06	1.0535e+06	1.5195e+06	1.4094e+06
P0AG20	P0AG20		relA		1.69836e+06	1.71269e+06	1.72803e+06	1.71899e+06	1.66641e+06	1.7282e+06
P0AG24	P0AG24		spoT		1.27857e+06	1.26074e+06	1.24912e+06	1.26667e+06	1.26478e+06	1.24954e+06
P0AG27	P0AG27		yibN		1.58204e+07	1.61512e+07	1.57935e+07	1.54195e+07	1.60422e+07	1.58323e+07
P0AG30	P0AG30		rho		3.29342e+07	3.23846e+07	3.28733e+07	3.27745e+07	3.32371e+07	3.29633e+07
P0AG40	P0AG40		ribF		2.39845e+06	2.37433e+06	2.46581e+06	2.41175e+06	2.42728e+06	2.32502e+06
P0AG44	P0AG44		rplQ		2.2582e+08	2.83812e+08	2.74765e+08	2.43218e+08	2.64871e+08	2.23887e+08
P0AG48	P0AG48		rplU		7.24133e+07	7.0488e+07	7.04683e+07	7.28208e+07	6.92739e+07	7.05882e+07
P0AG51	P0AG51		rpmD		6.0102e+07	6.3e+07	6.12024e+07	5.96865e+07	5.8946e+07	5.77028e+07
P0AG55	P0AG55		rplF		2.02231e+08	2.08853e+08	2.06087e+08	1.9694e+08	2.0953e+08	1.94876e+08
P0AG59	P0AG59		rpsN		2.47815e+07	2.56879e+07	2.56798e+07	2.4863e+07	2.5576e+07	2.53966e+07
P0AG63	P0AG63		rpsQ		2.46528e+08	2.63888e+08	2.62851e+08	2.55825e+08	2.71197e+08	2.56837e+08
P0AG67	P0AG67		rpsA		3.15834e+08	3.29013e+08	3.295e+08	3.21773e+08	3.32348e+08	3.2428e+08
P0AG71	P0AG71		rmuC		878877	1.12265e+06	1.00018e+06	1.11977e+06	1.0493e+06	938882
P0AG78	P0AG78		sbp		877150	842450	902076	820287	905830	945129
