Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)				76079.7	16710500.0	81038.7	16715400.0	109544.0	17032400.0	3	3.456109823149445e-05	-7.563933374826389	False	0.000640634533251983	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)				3474140.0	10504600.0	3047810.0	10404500.0	3493690.0	10265300.0	0	3.87601937131273e-05	-1.638107181007356	False	0.0006711409395973155	True	False	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P0A7R5	P0A7R5		rpsJ		197397000.0	162910000.0	195137000.0	164265000.0	196693000.0	166404000.0	0	4.2597172101353716e-05	0.2555425257981715	False	0.000701647345942648	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.660964047443681
P0AA04	P0AA04		ptsH		66785600.0	38156500.0	65433900.0	35961400.0	63111700.0	39589100.0	0	5.509712409680934e-05	0.7806013356726691	False	0.0007321537522879805	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.660964047443681
P45795	P45795		yrdB		1408490.0	3080340.0	1605190.0	3239070.0	1595250.0	3312970.0	0	6.000207004899775e-05	-1.063460451607512	False	0.000762660158633313	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.660964047443681
P0ADC1	P0ADC1		lptE		1541440.0	1045390.0	1524310.0	970912.0	1600710.0	983349.0	0	6.998701448206728e-05	0.6375338717063074	False	0.0007931665649786456	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.660964047443681
P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)				835282.0	22640900.0	81038.7	22714300.0	1146830.0	22423700.0	0	7.783121004462207e-05	-5.037915113311374	False	0.0008236729713239781	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)	P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)				76079.7	10945800.0	81038.7	10571800.0	109544.0	10753800.0	3	8.92889195260044e-05	-6.919097940074946	False	0.0008541793776693106	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P25714	P25714		yidC		7340390.0	6337390.0	7233450.0	6313430.0	7383350.0	6427950.0	0	0.00010461304038988651	0.20272527095869144	False	0.0008846857840146432	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.660964047443681
P09029	P09029		purK		1038350.0	1241240.0	1011650.0	1233720.0	1006750.0	1208430.0	0	0.0001163205136360439	-0.26903559443159997	False	0.0009151921903599756	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.660964047443681
