protein	RD139_Wide_UPS1_10fmol_inj1r	RD139_Wide_UPS1_10fmol_inj2	RD139_Wide_UPS1_10fmol_inj3	RD139_Wide_UPS1_5fmol_inj1	RD139_Wide_UPS1_5fmol_inj2	RD139_Wide_UPS1_5fmol_inj3	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0A6J8	51752715.91063423	49882757.87956943	49343581.13871254	51438984.64413764	53008326.95184869	52049950.34337655	P0A6J8	P0A6J8		ddlA	0	0.11263196517156437	-0.051788995360449425	False	0.009836561743341405	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0A8K1	9998455.298573663	9343247.762194335	9194519.632484302	9089386.91139084	9024245.370993383	8511963.3054657	P0A8K1	P0A8K1		psd	0	0.11275487762838846	0.09998058224050879	False	0.00986682808716707	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0A9V1	21454285.53561402	21188393.20858095	22378290.859680165	23272786.63136697	22875774.968542237	22015869.134685207	P0A9V1	P0A9V1		lptB	0	0.1128503569922556	-0.0681140448704013	False	0.009897094430992737	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P61889	92318756.9494318	99499809.40152508	100657060.14637652	103100416.3521771	105718254.1285582	103866227.87985848	P61889	P61889		mdh	0	0.11293865290674461	-0.09639314109336782	False	0.009927360774818404	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P69913	17104525.11425712	17155234.22610321	15664784.146792987	15701177.638124287	14552990.428763095	15813154.661444074	P69913	P69913		csrA	0	0.11467808971659024	0.11600547965588742	False	0.009957627118644067	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P31069	1297035.451196649	1272926.4059450182	1528187.5034655903	1050088.9768105182	1295323.773564572	1078329.7380879363	P31069	P31069		kch	0	0.11615935596348044	0.25939836985306514	False	0.009987893462469734	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P17117	9572143.5732509	9411353.651370788	9096815.279833166	8972636.936599476	9202818.138639336	8829543.919294322	P17117	P17117		nfsA	0	0.11695056069600938	0.056332496841337176	False	0.0100181598062954	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0A6M8	1267894313.621813	1335371473.1478117	1349984645.6616938	1386991451.0921862	1388150593.558749	1377071684.4804826	P0A6M8	P0A6M8		fusA	0	0.1171155213302773	-0.07084135562554407	False	0.010048426150121066	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P32695	2540673.892990108	2368377.03630828	2493590.451041474	2775444.4858392747	2557732.958296856	2588274.691136436	P32695	P32695		dusA	0	0.11775231532391504	-0.09772478561910934	False	0.010078692493946733	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0A6F5	615309856.5865409	686544119.6118305	680520270.5043159	717933894.9286499	724059086.3488822	720795820.1098398	P0A6F5	P0A6F5		groL	0	0.11788915422998002	-0.125663441019684	False	0.010108958837772396	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0AEZ9	30039371.404229004	32581318.387977306	31982418.57533365	33158070.06043268	35353013.03442704	32730397.02097581	P0AEZ9	P0AEZ9		moaB	0	0.11899029247006641	-0.09784101244034434	False	0.010139225181598063	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P18843	81988163.13425295	79840536.04163563	77822060.3793438	75719530.52334028	75780708.48713091	78767675.8427868	P18843	P18843		nadE	0	0.1190453923831678	0.0576201100619626	False	0.01016949152542373	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
