Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0A894	P0A894		yhbJ		1641150.0	1780030.0	1740890.0	1712930.0	1739530.0	1692960.0	0	0.21523902040482837	-0.04408982699937782	False	0.012757575757575757	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P42632	P42632		tdcE		81253900.0	80447100.0	83355200.0	81757000.0	80338100.0	81540200.0	0	0.21597160680549593	0.021297852697810846	False	0.012787878787878789	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0ABV2	P0ABV2		exbD		3263470.0	3251420.0	3325980.0	3295300.0	3223060.0	3421370.0	0	0.21605334165486983	0.03516217168346768	False	0.012818181818181819	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P04825	P04825		pepN		15792200.0	16443800.0	16127600.0	16261300.0	16697100.0	14016200.0	0	0.2167192576264155	-0.10495005429832426	False	0.01284848484848485	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P64483	P64483		yeaK		4518860.0	4499430.0	4247220.0	4885180.0	4806280.0	4672680.0	0	0.21717158269829448	-0.07856504653569929	False	0.012878787878787878	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P07813	P07813		leuS		14948500.0	15154500.0	14939300.0	14893800.0	15313100.0	14233800.0	0	0.21876471506121783	-0.03998005828726226	False	0.01290909090909091	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P11557	P11557		damX		8904440.0	8809020.0	8742450.0	8574010.0	8705580.0	8810790.0	0	0.21941079389785778	0.020266481793153386	False	0.01293939393939394	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P77529	P77529		ydjN		4918790.0	4688740.0	5110700.0	5020750.0	4820930.0	5009700.0	0	0.2196186378496435	0.04965046209068844	False	0.012969696969696971	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P64455	P64455		ydcY		7375730.0	7000900.0	6245720.0	6075260.0	4597970.0	10035100.0	0	0.21963607283672845	0.4206004898609201	False	0.013000000000000001	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P21165	P21165		pepQ		11856900.0	11963200.0	11696900.0	11911600.0	11968800.0	11136800.0	0	0.2197264513079415	-0.0471707503472276	False	0.013030303030303031	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P36929	P36929		rsmB		2709960.0	2814500.0	2847190.0	2551590.0	2651700.0	2871650.0	0	0.22012069545830723	0.07212261944015229	False	0.01306060606060606	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P32173	P32173		mobA		717854.0	636939.0	719699.0	617095.0	696509.0	653676.0	0	0.22029326962934342	0.10047524974466972	False	0.013090909090909092	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0CK95	P0CK95		yghJ		5515410.0	5646840.0	5563150.0	5537780.0	5644230.0	5252630.0	0	0.22158605016439123	-0.04330667426124049	False	0.013121212121212122	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P36673	P36673		treR		838328.0	881172.0	864957.0	883626.0	905941.0	698684.0	0	0.22241641425087086	-0.15302146276303635	False	0.013151515151515154	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P76578	P76578		yfhM		3550530.0	3288180.0	3930970.0	3497190.0	3827750.0	4214380.0	0	0.2224790503832532	0.14015157842068868	False	0.013181818181818182	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0A7W1	P0A7W1		rpsE		143679000.0	150362000.0	145723000.0	149198000.0	147187000.0	127709000.0	0	0.22267841200631225	-0.09902668199383843	False	0.013212121212121213	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P06610	P06610		btuE		9370110.0	10083300.0	9190890.0	9766930.0	9605260.0	7077590.0	0	0.22314030094917886	-0.20021963001892668	False	0.013242424242424243	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0AAT9	P0AAT9		ybeL		7816740.0	7688850.0	8140760.0	7240930.0	7639970.0	7562660.0	0	0.22396925514038798	0.05950743618026177	False	0.013272727272727275	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0A7C6	P0A7C6		pepE		5679990.0	5670910.0	5662340.0	5647060.0	5533180.0	5890530.0	0	0.22441922345403928	0.03231510308164375	False	0.013303030303030304	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P61887	P61887		rmlA2		1038020.0	1068260.0	1016930.0	1118120.0	1037120.0	1048030.0	0	0.2246065681290627	-0.05497358536137604	False	0.013333333333333334	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0AEY3	P0AEY3		mazG		1586200.0	1673940.0	1627550.0	1636000.0	1644720.0	1428930.0	0	0.22493671544882163	-0.09382821424845143	False	0.013363636363636364	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P14407	P14407		fumB		26190200.0	26719100.0	26317300.0	26399500.0	26760500.0	24690700.0	0	0.22567950447299692	-0.04925086885513054	False	0.013393939393939396	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0AEH5	P0AEH5		elaB		7269240.0	7722560.0	7714240.0	7844250.0	7562810.0	6800170.0	0	0.22580038744272737	-0.08649585615478944	False	0.013424242424242425	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0A8R0	P0A8R0		rraA		20059500.0	20159500.0	21308400.0	17930400.0	20815900.0	22246000.0	0	0.22597788144240932	0.11093234494273058	False	0.013454545454545457	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0A908	P0A908		mipA		2743560.0	2528730.0	2419620.0	2280850.0	2318590.0	2501450.0	0	0.22662355958017757	0.10468440518711566	False	0.013484848484848485	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P11875	P11875		argS		13401300.0	13629800.0	13642600.0	13261500.0	13148600.0	13794500.0	0	0.22728006683118224	0.028487973210077327	False	0.013515151515151515	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0AEV4	P0AEV4		hycA		1102730.0	1014430.0	1126690.0	830715.0	1175120.0	1316580.0	0	0.2281453645271555	0.23151739813886396	False	0.013545454545454546	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
