Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
Q46927	Q46927		ygdL		1425340.0	1509380.0	1385740.0	1550740.0	1457840.0	1365750.0	0	0.12282917149283369	-0.09166532880703887	False	0.01849482023156612	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
Q46798	Q46798		ygeR		726137.0	899141.0	884555.0	737473.0	1033410.0	882928.0	0	0.12390154170753931	0.24541927248363618	False	0.018525289457647778	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AGG4	P0AGG4		trxC		3571100.0	3553460.0	3629690.0	3572160.0	3645160.0	3776590.0	0	0.12421664273090742	0.04706588256022932	False	0.018555758683729436	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AAB4	P0AAB4		ubiD		1860570.0	1739470.0	1911070.0	1812330.0	1920580.0	1840060.0	0	0.12423348183693983	0.06752329998763112	False	0.01858622790981109	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P17315	P17315		cirA		2489320.0	2362320.0	2350560.0	2406370.0	2360290.0	2266230.0	0	0.12460387007621396	-0.05695066870280654	False	0.01861669713589275	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P09147	P09147		galE		8963240.0	8971120.0	8768750.0	9216280.0	8912270.0	8875960.0	0	0.12469394987744034	-0.03189510993061254	False	0.018647166361974405	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P64534	P64534		rcnB		2752550.0	2735920.0	2665810.0	2834590.0	2750980.0	2660270.0	0	0.12489963696676835	-0.043283780970691854	False	0.018677635588056064	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P27838	P27838		cyaY		2624170.0	2493050.0	2304840.0	2448530.0	2464280.0	2389570.0	0	0.1258976060992853	-0.0797874986984933	False	0.018708104814137722	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P77285	P77285		rnfG		2188870.0	2251000.0	2562800.0	2329790.0	2335260.0	2760050.0	0	0.12620926724605785	0.17790500542574558	False	0.018738574040219377	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0A6I6	P0A6I6		coaD		1138030.0	1120920.0	1315410.0	1103680.0	1208570.0	1166430.0	0	0.1265767857398544	0.13419106318137933	False	0.018769043266301036	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AFI7	P0AFI7		pdxH		7105580.0	6965960.0	6838190.0	7043220.0	6765230.0	7005740.0	0	0.12682774538420266	-0.0349661450210506	False	0.018799512492382695	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
