Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0AAB6	P0AAB6		galF		12635600.0	12783800.0	12433900.0	12268800.0	12263000.0	12775400.0	0	0.005513583199768506	0.04718900393393477	False	0.0014088729016786571	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P11988	P11988		bglB		620656.0	643235.0	904640.0	832412.0	792625.0	549142.0	0	0.005616873287733225	-0.4805480025952079	False	0.0014388489208633096	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P05055	P05055		pnp		35799500.0	36058100.0	35279900.0	35023900.0	35231500.0	35747700.0	0	0.0057250160942153615	0.028023498410730905	False	0.0014688249400479616	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0A7X3	P0A7X3		rpsI		81057500.0	81275100.0	75491100.0	73184800.0	72624900.0	82233400.0	0	0.005887516276828943	0.14421518530143826	False	0.001498800959232614	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P28248	P28248		dcd		3115760.0	3104920.0	2989540.0	3033960.0	2991430.0	3161790.0	0	0.006234033783314844	0.05765148284791217	False	0.0015287769784172664	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0AG63	P0AG63		rpsQ		200545000.0	198068000.0	206520000.0	205832000.0	205755000.0	199015000.0	0	0.0062473133730256624	-0.048608860816841605	False	0.0015587529976019184	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0A7V0	P0A7V0		rpsB		124633000.0	125235000.0	120753000.0	121723000.0	120078000.0	124568000.0	0	0.006315899708959423	0.046523257994565574	False	0.001588729016786571	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0A9M2	P0A9M2		hpt		13627200.0	13763000.0	13439400.0	13348400.0	13284800.0	13645900.0	0	0.006580061757073488	0.03427750812786503	False	0.0016187050359712232	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0AG48	P0AG48		rplU		98096200.0	97858400.0	103972000.0	104495000.0	103766000.0	95770100.0	0	0.00745217397129988	-0.09801548148543139	False	0.0016486810551558752	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P24232	P24232		hmp		1456650.0	1445130.0	1389840.0	1347860.0	1359270.0	1494620.0	0	0.007482708087312872	0.10176532500463684	False	0.0016786570743405277	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0A6T1	P0A6T1		pgi		53943300.0	53783500.0	53014700.0	53363500.0	52974400.0	54226600.0	0	0.00843048031667619	0.023356197601113543	False	0.00170863309352518	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0AE67	P0AE67		cheY		1595710.0	1639590.0	1507740.0	1466030.0	1463800.0	1572460.0	0	0.009045288153481549	0.11559500219270448	False	0.0017386091127098323	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0ACA3	P0ACA3		sspA		32723400.0	32396800.0	31627600.0	32037100.0	31887300.0	32767600.0	0	0.009641241483990733	0.03484299377632003	False	0.0017685851318944845	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P00954	P00954		trpS		14020400.0	14341700.0	13709200.0	13341600.0	13458600.0	14132800.0	0	0.010432551444473257	0.06903299057491126	False	0.0017985611510791368	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0AD61	P0AD61		pykF		49637900.0	50299500.0	48790300.0	48494100.0	49125900.0	50156100.0	0	0.010863009216058324	0.03584444933373511	False	0.001828537170263789	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0AEI6	P0AEI6		nudJ		2768740.0	2723160.0	2826420.0	2875630.0	2824380.0	2742760.0	0	0.011704033379160723	-0.050232730401349124	False	0.0018585131894484413	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0A6A8	P0A6A8		acpP		147800000.0	146048000.0	136695000.0	138168000.0	141106000.0	144545000.0	0	0.011877818652464072	0.07574874654590875	False	0.0018884892086330938	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0A7T7	P0A7T7		rpsR		69279700.0	71689400.0	78921400.0	77513500.0	78063200.0	72752900.0	0	0.012132324917552404	-0.13384081047377394	False	0.0019184652278177458	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0ACF0	P0ACF0		hupA		164552000.0	164149000.0	167398000.0	167654000.0	166386000.0	164249000.0	0	0.012198679768176424	-0.024630009476166156	False	0.0019484412470023981	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P42628	P42628		yhaO		9240370.0	9285540.0	10369300.0	10155300.0	10496500.0	8647740.0	0	0.01232433719667948	-0.19104148161607065	False	0.0019784172661870504	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P14900	P14900		murD		2903470.0	2852220.0	2807180.0	2763650.0	2802630.0	2881650.0	0	0.01242187096703287	0.044763198506717686	False	0.0020083932853717026	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
