Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML
P0AEH1	P0AEH1		rseP		1.29806e+06	1.38148e+06	1.23874e+06	1.32543e+06	1.34437e+06	1.32671e+06
P0AEH5	P0AEH5		elaB		9.28358e+06	9.17824e+06	9.26336e+06	9.74246e+06	9.90927e+06	9.46348e+06
P0AEI1	P0AEI1		miaB		1.16245e+07	1.13791e+07	1.14871e+07	1.13125e+07	1.12511e+07	1.13836e+07
P0AEI4	P0AEI4		rimO		4.1044e+06	4.28998e+06	4.10671e+06	4.37851e+06	4.2841e+06	4.18275e+06
P0AEI6	P0AEI6		nudJ		3.06752e+06	3.11654e+06	3.08568e+06	3.28052e+06	3.23084e+06	3.15011e+06
P0AEK2	P0AEK2		fabG		6.7368e+07	6.82959e+07	6.92944e+07	6.62337e+07	6.41806e+07	6.68993e+07
P0AEK4	P0AEK4		fabI		6.12726e+07	6.17833e+07	6.06745e+07	5.87136e+07	5.88245e+07	5.84696e+07
P0AEL6	P0AEL6		fepB		2.3062e+06	2.27958e+06	2.25448e+06	2.51236e+06	2.40252e+06	2.31949e+06
P0AEM0	P0AEM0		fkpB		1.31689e+06	1.70643e+06	1.60267e+06	1.71927e+06	2.21283e+06	1.62243e+06
P0AEM4	P0AEM4		flgM		2.46847e+06	2.26162e+06	2.24232e+06	2.11122e+06	2.15837e+06	2.2769e+06
P0AEM6	P0AEM6		fliA		2.62234e+06	2.84409e+06	2.71388e+06	2.63266e+06	2.6333e+06	2.71782e+06
P0AEM9	P0AEM9		fliY		7.19593e+06	7.20433e+06	7.17238e+06	7.19993e+06	7.27938e+06	7.35084e+06
P0AEN1	P0AEN1		fre		9.58992e+06	9.66886e+06	9.52813e+06	8.90315e+06	9.07349e+06	9.34456e+06
P0AEN4	P0AEN4		ftsL		1.03341e+06	1.01e+06	1.18287e+06	1.1068e+06	1.04644e+06	1.01446e+06
P0AEN8	P0AEN8		fucU		5.11483e+06	5.23031e+06	5.30705e+06	5.15858e+06	5.0303e+06	5.23946e+06
P0AEP3	P0AEP3		galU		6.63619e+07	6.69975e+07	6.66443e+07	6.06667e+07	6.25482e+07	6.1565e+07
P0AEQ3	P0AEQ3		glnH		2.33069e+07	2.29748e+07	2.33077e+07	2.40726e+07	2.43494e+07	2.39247e+07
P0AES0	P0AES0		gsp		2.71032e+06	2.53739e+06	2.67781e+06	2.68673e+06	2.78854e+06	2.64222e+06
P0AES2	P0AES2		gudD		2.17229e+06	2.38079e+06	2.27222e+06	2.3449e+06	2.21232e+06	2.26161e+06
P0AES4	P0AES4		gyrA		1.5116e+07	1.49075e+07	1.50874e+07	1.50838e+07	1.48008e+07	1.48482e+07
P0AES6	P0AES6		gyrB		8.52482e+06	8.73153e+06	8.6931e+06	8.65865e+06	8.52288e+06	8.59503e+06
