Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML
P05459	P05459		pdxB		6.35915e+06	6.22213e+06	6.45841e+06	6.41746e+06	6.3417e+06	5.94734e+06
P05523	P05523		mutM		221794	187661	267019	254643	238156	226684
P05637	P05637		apaH		2.44918e+06	2.50717e+06	2.46651e+06	2.82243e+06	2.63146e+06	2.41678e+06
P05719	P05719		hsdS		1.06604e+06	1.08136e+06	1.14166e+06	1.09279e+06	1.17289e+06	1.08647e+06
P05791	P05791		ilvD		3.04335e+06	3.05794e+06	3.0285e+06	2.966e+06	3.03782e+06	2.90351e+06
P05793	P05793		ilvC		7.57373e+06	7.48446e+06	7.34085e+06	7.55294e+06	7.36597e+06	6.8274e+06
P05825	P05825		fepA		2.05643e+06	2.03461e+06	2.12518e+06	2.13128e+06	2.02372e+06	1.94559e+06
P05852	P05852		gcp		2.82314e+06	2.73047e+06	2.68863e+06	2.82618e+06	2.68296e+06	2.68788e+06
P06129	P06129		btuB		1.52285e+07	1.53517e+07	1.53925e+07	1.49301e+07	1.4959e+07	1.42022e+07
P06136	P06136		ftsQ		1.3034e+06	1.40582e+06	1.30428e+06	1.26182e+06	1.32511e+06	1.45056e+06
P06149	P06149		dld		6.77206e+06	6.7576e+06	6.90085e+06	6.69596e+06	6.61057e+06	6.29635e+06
P06282	P06282		cdh		2.44449e+06	2.47272e+06	2.53286e+06	2.55647e+06	2.50867e+06	2.47212e+06
P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)	P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)				2.64442e+06	2.7252e+06	1.04201e+06	961337	986026	2.61524e+06
P06610	P06610		btuE		8.82878e+06	8.80082e+06	8.98906e+06	8.99672e+06	8.47292e+06	7.5046e+06
P06612	P06612		topA		4.56081e+06	4.46233e+06	4.68686e+06	4.54766e+06	4.67948e+06	4.66862e+06
P06616	P06616		era		4.03584e+06	3.90098e+06	3.89525e+06	3.8194e+06	3.7799e+06	4.01208e+06
P06709	P06709		birA		1.09893e+06	1.04602e+06	1.05865e+06	1.02496e+06	1.07945e+06	1.04785e+06
P06710	P06710		dnaX		1.45149e+06	1.37156e+06	1.37724e+06	1.42922e+06	1.45867e+06	1.37753e+06
P06715	P06715		gor		5.54343e+06	5.48721e+06	5.17063e+06	5.33881e+06	5.18914e+06	5.08132e+06
P06721	P06721		metC		583028	378536	679166	581198	645756	515331
P06722	P06722		mutH		1.12197e+06	1.06473e+06	1.01096e+06	1.18128e+06	1.12057e+06	1.13972e+06
P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)				2.80334e+06	2.80092e+06	909949	935656	914854	2.8033e+06
P06846	P06846		ebgR		1.46174e+06	1.39886e+06	1.40852e+06	1.30584e+06	1.31329e+06	1.64415e+06
P06959	P06959		aceF		6.60626e+07	6.61258e+07	6.572e+07	6.54698e+07	6.58607e+07	5.96901e+07
P06961	P06961		cca		1.62325e+06	1.51033e+06	1.52818e+06	1.62659e+06	1.64449e+06	1.5956e+06
P06968	P06968		dut		8.17675e+06	8.24242e+06	8.35427e+06	8.01931e+06	8.30322e+06	8.25899e+06
P06971	P06971		fhuA		1.35027e+07	1.36395e+07	1.35165e+07	1.36557e+07	1.34296e+07	1.26552e+07
P06974	P06974		fliM		1.50002e+06	1.47989e+06	1.43947e+06	1.51303e+06	1.4692e+06	1.40694e+06
P06983	P06983		hemC		1.00521e+07	1.01545e+07	1.04747e+07	1.08128e+07	1.05687e+07	9.00431e+06
P06986	P06986		hisC		4.42786e+06	4.54608e+06	4.41536e+06	4.27938e+06	4.28624e+06	4.61027e+06
P06987	P06987		hisB		1.12858e+06	1.11592e+06	1.11257e+06	1.1883e+06	1.13957e+06	1.10555e+06
P06988	P06988		hisD		3.56941e+06	3.5604e+06	3.68764e+06	3.54646e+06	3.79107e+06	3.36165e+06
P06992	P06992		rsmA		2.79886e+06	2.81322e+06	2.86196e+06	2.41223e+06	2.53452e+06	2.36169e+06
P06993	P06993		malT		267867	294533	256392	210705	265418	311981
P06996	P06996		ompC		2.96147e+08	2.99027e+08	2.9887e+08	2.87135e+08	2.9899e+08	2.75642e+08
P06999	P06999		pfkB		1.98069e+06	1.86804e+06	1.75664e+06	1.52749e+06	1.64849e+06	1.80825e+06
