Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML
P0AFF6	P0AFF6		nusA		2.43495e+07	2.45818e+07	2.4632e+07	2.3991e+07	2.44321e+07	2.39156e+07
P0AFG0	P0AFG0		nusG		1.45411e+07	1.47245e+07	1.49226e+07	1.50133e+07	1.45282e+07	1.55501e+07
P0AFG3	P0AFG3		sucA		9.00866e+06	8.81476e+06	9.22386e+06	8.79564e+06	9.16349e+06	8.98055e+06
P0AFG6	P0AFG6		sucB		8.94437e+06	8.86776e+06	8.77942e+06	8.63635e+06	9.0013e+06	8.85136e+06
P0AFG8	P0AFG8		aceE		9.5198e+07	9.6341e+07	9.43426e+07	9.42289e+07	9.4393e+07	9.40352e+07
P0AFH8	P0AFH8		osmY		2.64001e+07	2.64787e+07	2.73262e+07	2.62042e+07	2.51199e+07	2.56387e+07
P0AFI0	P0AFI0		oxc		1.14119e+06	1.18879e+06	1.01562e+06	1.14101e+06	1.1347e+06	1.21541e+06
P0AFI2	P0AFI2		parC		5.04698e+06	4.97179e+06	4.90908e+06	4.75802e+06	4.70405e+06	4.77137e+06
P0AFI5	P0AFI5		pbpG		2.34583e+06	2.27694e+06	2.23537e+06	2.13297e+06	2.22429e+06	2.20414e+06
P0AFI7	P0AFI7		pdxH		7.55419e+06	7.40294e+06	6.99394e+06	7.42196e+06	7.30287e+06	7.35503e+06
P0AFJ1	P0AFJ1		phnA		1.71984e+06	1.73019e+06	1.71963e+06	1.77662e+06	1.73176e+06	1.78901e+06
P0AFJ7	P0AFJ7		pitA		1.81569e+06	1.81332e+06	1.90359e+06	1.79069e+06	1.89327e+06	1.75819e+06
P0AFK0	P0AFK0		pmbA		5.28674e+06	5.26199e+06	5.30398e+06	5.29854e+06	5.40909e+06	5.38954e+06
P0AFK9	P0AFK9		potD		4.92596e+06	5.06661e+06	4.82358e+06	4.97844e+06	5.02793e+06	5.01906e+06
P0AFL3	P0AFL3		ppiA		6.19925e+06	6.21577e+06	6.47994e+06	6.5223e+06	6.19339e+06	6.37637e+06
P0AFL6	P0AFL6		ppx		1.7858e+07	1.78237e+07	1.78136e+07	1.87808e+07	1.8782e+07	1.9354e+07
P0AFM2	P0AFM2		proX		1.58718e+06	1.64212e+06	1.60604e+06	1.93156e+06	1.85109e+06	2.01299e+06
P0AFM6	P0AFM6		pspA		3.77994e+06	3.85425e+06	3.88821e+06	3.98404e+06	3.86214e+06	4.1263e+06
P0AFP4	P0AFP4		ybbO		911320	943542	910848	1.01301e+06	1.0401e+06	900891
P0AFP6	P0AFP6		ybgI		9.67375e+06	9.59897e+06	9.79155e+06	9.84265e+06	1.00535e+07	9.76268e+06
P0AFQ7	P0AFQ7		ycfH		4.9977e+06	4.96126e+06	5.22089e+06	5.1468e+06	5.08916e+06	5.3433e+06
P0AFR0	P0AFR0		rssA		2.41748e+06	2.32411e+06	2.10041e+06	2.22403e+06	2.25561e+06	2.20022e+06
P0AFR4	P0AFR4		yciO		6.52911e+06	6.44856e+06	6.31234e+06	6.94332e+06	6.67449e+06	7.00588e+06
P0AFU4	P0AFU4		glrR		860572	759732	833063	822808	831703	795244
P0AFU8	P0AFU8		ribC		9.78858e+06	9.54872e+06	9.34518e+06	9.22895e+06	9.2417e+06	9.24712e+06
P0AFW0	P0AFW0		rfaH		1.18498e+06	1.08194e+06	1.00909e+06	1.1729e+06	1.2513e+06	1.23853e+06
P0AFW8	P0AFW8		rof		3.60575e+06	3.53815e+06	3.33733e+06	3.7286e+06	3.7165e+06	3.70845e+06
P0AFX0	P0AFX0		hpf		1.06926e+06	1.07399e+06	1.00081e+06	916565	881712	768068
P0AFX4	P0AFX4		rsd		558684	501807	533688	401597	401994	394396
P0AFX7	P0AFX7		rseA		564535	574507	536244	679463	680950	642417
P0AFX9	P0AFX9		rseB		2.81096e+06	2.87686e+06	2.9251e+06	2.79451e+06	2.7165e+06	2.66893e+06
P0AFY8	P0AFY8		seqA		1.00195e+07	1.02469e+07	1.00515e+07	1.03767e+07	1.04702e+07	1.02663e+07
P0AFZ1	P0AFZ1		sseB		2.55461e+06	2.57555e+06	2.49541e+06	2.48891e+06	2.40971e+06	2.37918e+06
P0AFZ3	P0AFZ3		sspB		8.05773e+06	7.76455e+06	7.63607e+06	7.53617e+06	7.47479e+06	7.45316e+06
P0AG00	P0AG00		wzzE		2.95531e+06	3.11018e+06	3.21379e+06	3.08782e+06	3.25911e+06	3.30535e+06
P0AG07	P0AG07		rpe		1.28097e+07	1.2292e+07	1.31643e+07	1.26886e+07	1.23864e+07	1.25428e+07
P0AG14	P0AG14		sohB		1.37351e+06	1.43501e+06	1.34638e+06	1.41898e+06	1.5262e+06	1.51374e+06
P0AG16	P0AG16		purF		1.01716e+06	1.06956e+06	1.03158e+06	1.17404e+06	903548	1.08583e+06
P0AG18	P0AG18		purE		1.29165e+06	1.39111e+06	1.42375e+06	1.24762e+06	1.0759e+06	1.37054e+06
P0AG20	P0AG20		relA		4.02303e+06	4.02348e+06	3.97658e+06	4.13582e+06	4.26355e+06	4.08435e+06
P0AG24	P0AG24		spoT		5.37238e+06	4.92625e+06	4.86962e+06	5.21199e+06	5.08237e+06	5.20296e+06
