Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML
P0A6B4	P0A6B4		alr		2.79412e+06	2.70257e+06	2.76209e+06	2.8147e+06	2.82434e+06	2.68486e+06
P0A6B7	P0A6B7		iscS		1.62944e+07	1.70194e+07	1.73351e+07	1.63828e+07	1.6427e+07	1.70713e+07
P0A6C1	P0A6C1		nfo		2.10829e+06	1.92273e+06	1.93286e+06	2.147e+06	1.98873e+06	1.9385e+06
P0A6D0	P0A6D0		argR		1.63318e+06	1.55287e+06	1.62788e+06	1.66287e+06	1.61098e+06	1.52242e+06
P0A6D3	P0A6D3		aroA		5.16985e+06	5.37626e+06	5.28576e+06	5.09428e+06	5.32569e+06	5.5248e+06
P0A6D7	P0A6D7		aroK		1.16043e+07	1.1743e+07	1.14102e+07	1.10615e+07	1.12878e+07	1.15692e+07
P0A6E6	P0A6E6		atpC		6.08544e+06	5.96331e+06	6.25274e+06	6.2034e+06	6.17884e+06	6.24274e+06
P0A6E9	P0A6E9		bioD2		5.84591e+06	5.67607e+06	5.78036e+06	5.60193e+06	5.47294e+06	6.02812e+06
P0A6F1	P0A6F1		carA		4.63545e+06	4.46671e+06	4.43496e+06	4.61133e+06	4.51974e+06	4.64533e+06
P0A6F3	P0A6F3		glpK		4.70004e+06	4.50797e+06	4.56098e+06	4.54916e+06	4.60999e+06	4.54288e+06
P0A6F5	P0A6F5		groL		8.1269e+07	8.03622e+07	8.02791e+07	8.10392e+07	7.99436e+07	8.06876e+07
