Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML
P0A855	P0A855		tolB		1.6828e+07	1.68041e+07	1.52614e+07	1.59304e+07	1.74635e+07	1.56184e+07
P0A858	P0A858		tpiA		8.6259e+07	8.58977e+07	8.19783e+07	7.74714e+07	8.62383e+07	7.7116e+07
P0A862	P0A862		tpx		3.91983e+07	3.88862e+07	4.3966e+07	4.32222e+07	3.99654e+07	4.36098e+07
P0A867	P0A867		talA		4.77653e+06	4.62136e+06	4.65998e+06	4.55521e+06	4.54785e+06	4.68851e+06
P0A870	P0A870		talB		4.71563e+07	4.69075e+07	4.51323e+07	4.50326e+07	4.7482e+07	4.47016e+07
P0A873	P0A873		trmD		3.81102e+06	3.68514e+06	4.14106e+06	3.98647e+06	3.63051e+06	4.00088e+06
P0A877	P0A877		trpA		1.61548e+06	1.75734e+06	1.67901e+06	1.67523e+06	1.63878e+06	1.49439e+06
P0A879	P0A879		trpB		500758	468214	492049	470767	477631	467747
P0A884	P0A884		thyA		9.48349e+06	9.46749e+06	9.0454e+06	9.0051e+06	9.2755e+06	9.26495e+06
P0A887	P0A887		ubiE		7.92714e+06	7.99499e+06	7.72973e+06	7.86674e+06	7.68881e+06	7.6528e+06
P0A894	P0A894		yhbJ		8.21986e+06	8.14957e+06	7.70742e+06	7.71184e+06	8.23395e+06	8.01207e+06
P0A898	P0A898		ybeY		3.32651e+06	3.57841e+06	3.28635e+06	3.23427e+06	3.52904e+06	3.01963e+06
P0A8A0	P0A8A0		yebC		3.05833e+06	3.11272e+06	3.12359e+06	2.96062e+06	3.24617e+06	3.11323e+06
P0A8A2	P0A8A2		yeeN		8.35494e+06	8.48625e+06	9.09278e+06	9.19739e+06	7.88507e+06	9.17025e+06
P0A8A4	P0A8A4		ppsR		2.05011e+06	1.98224e+06	2.14188e+06	2.09416e+06	2.21191e+06	2.18911e+06
P0A8A8	P0A8A8		rimP		1.84672e+07	1.95333e+07	1.62891e+07	1.66595e+07	1.8673e+07	1.76066e+07
P0A8B2	P0A8B2		yfcN		1.56581e+06	1.44445e+06	1.60985e+06	1.7694e+06	1.45538e+06	1.75159e+06
P0A8B5	P0A8B5		ybaB		1.58152e+06	1.62796e+06	1.66653e+06	1.84671e+06	1.70891e+06	2.00309e+06
P0A8C1	P0A8C1		ybjQ		1.21551e+06	1.09101e+06	1.34186e+06	1.31905e+06		1.79442e+06
P0A8C4	P0A8C4		ygfB		3.77236e+06	3.8144e+06	3.64479e+06	3.68637e+06	3.7135e+06	3.93406e+06
P0A8D0	P0A8D0		nrdR		1.82865e+06	1.88985e+06	1.87445e+06	1.80444e+06	1.76602e+06	1.88736e+06
P0A8D3	P0A8D3		yaiI		1.8921e+06	1.98928e+06	1.91217e+06	1.89421e+06	1.94168e+06	1.80301e+06
