Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML
P00490	P00490		malP		5.70285e+06	5.44952e+06	5.41635e+06	5.46674e+06	5.40603e+06	5.3424e+06
P00509	P00509		aspC		1.82849e+07	1.76272e+07	1.80478e+07	1.78741e+07	1.77067e+07	1.8095e+07
P00547	P00547		thrB		514690	468957	438236	473869	585902	504204
P00550	P00550		mtlA		2.18905e+06	2.14405e+06	2.25108e+06	2.0611e+06	2.34029e+06	2.33971e+06
P00561	P00561		thrA		1.87261e+06	1.71423e+06	1.87849e+06	1.88507e+06	1.64366e+06	1.64171e+06
P00562	P00562		metL		2.68524e+06	2.93604e+06	2.8302e+06	2.64704e+06	2.92507e+06	2.90182e+06
P00579	P00579		rpoD		7.16062e+06	6.82779e+06	7.0029e+06	7.01667e+06	6.7732e+06	6.86657e+06
P00582	P00582		polA		3.33725e+06	3.30526e+06	3.32256e+06	3.39095e+06	3.28941e+06	3.38225e+06
P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)	P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)				750885	5.90224e+06	705532	877234	5.77411e+06	5.51764e+06
P00803	P00803		lepB		5.10605e+06	4.81425e+06	4.67925e+06	4.68112e+06	4.86188e+06	4.78947e+06
P00805	P00805		ansB		1.14711e+07	1.15888e+07	1.18019e+07	1.17133e+07	1.17278e+07	1.17571e+07
P00811	P00811		ampC		787424	825996	868296	795437	794931	888105
P00864	P00864		ppc		1.09529e+07	1.09512e+07	1.11297e+07	1.09904e+07	1.07267e+07	1.07813e+07
P00887	P00887		aroH		1.19746e+06	1.49988e+06	1.4485e+06	1.36936e+06	1.57917e+06	1.50261e+06
P00888	P00888		aroF		1.78598e+06	1.86057e+06	1.78858e+06	1.83342e+06	1.78724e+06	1.80745e+06
P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)				3.05133e+06	2.20368e+07	3.57102e+06	3.01128e+06	2.29134e+07	2.12651e+07
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)				1.53662e+06	2.27778e+07	1.59392e+06	1.43914e+06	2.30155e+07	2.27998e+07
P00934	P00934		thrC		4.36507e+06	4.4993e+06	4.21652e+06	4.32352e+06	4.38288e+06	4.2522e+06
P00946	P00946		manA		1.09287e+07	1.07346e+07	1.06746e+07	1.05322e+07	1.06743e+07	1.05435e+07
P00954	P00954		trpS		1.33709e+07	1.39164e+07	1.35557e+07	1.35407e+07	1.37932e+07	1.35687e+07
P00956	P00956		ileS		2.40784e+07	2.41023e+07	2.45103e+07	2.41409e+07	2.40865e+07	2.35042e+07
P00957	P00957		alaS		1.42006e+07	1.42674e+07	1.3786e+07	1.42907e+07	1.439e+07	1.44911e+07
P00959	P00959		metG		1.78242e+07	1.87431e+07	1.78177e+07	1.80788e+07	1.87955e+07	1.82804e+07
P00960	P00960		glyQ		6.66169e+06	6.62058e+06	6.56972e+06	6.78686e+06	6.57717e+06	6.57452e+06
P00961	P00961		glyS		1.32651e+07	1.27124e+07	1.3353e+07	1.32803e+07	1.29916e+07	1.29464e+07
P00962	P00962		glnS		1.76912e+07	1.78672e+07	1.75816e+07	1.781e+07	1.76238e+07	1.7424e+07
