Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML
P0A8D0	P0A8D0		nrdR		1.25028e+06	1.30204e+06	992616	1.24049e+06	1.3385e+06	1.44078e+06
P0A8D3	P0A8D3		yaiI		2.52705e+06	2.5145e+06	2.46002e+06	2.46093e+06	2.49657e+06	2.38614e+06
P0A8D6	P0A8D6		ymdB		1.42605e+06	1.47584e+06	1.35567e+06	1.43473e+06	1.23785e+06	1.38418e+06
P0A8E1	P0A8E1		ycfP		1.38382e+07	1.54082e+07	1.35985e+07	1.50792e+07	1.34129e+07	1.41403e+07
P0A8E7	P0A8E7		yajQ		1.66308e+07	1.47038e+07	1.63726e+07	1.47783e+07	1.62088e+07	1.4626e+07
P0A8F0	P0A8F0		upp		2.99583e+07	3.06884e+07	2.97959e+07	3.09489e+07	2.92091e+07	2.9891e+07
P0A8F4	P0A8F4		udk		7.08239e+06	7.47438e+06	6.83021e+06	7.60765e+06	7.35771e+06	7.23087e+06
P0A8F8	P0A8F8		uvrB		1.48245e+06	1.80288e+06	1.45548e+06	1.6695e+06	1.66782e+06	1.73218e+06
P0A8G0	P0A8G0		uvrC		323342	346887	306729	367214	266353	319590
P0A8G3	P0A8G3		uxaC		1.6833e+06	1.57555e+06	1.53596e+06	1.59072e+06	1.69412e+06	1.66562e+06
P0A8G6	P0A8G6		wrbA		9.18639e+06	8.77517e+06	9.17383e+06	8.88032e+06	8.74634e+06	8.76507e+06
