Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML
P39396	P39396		yjiY		5.78689e+06	5.92279e+06	5.70716e+06	6.19566e+06	6.21823e+06	5.96127e+06
P39401	P39401		mdoB		1.23307e+06	1.25216e+06	1.3374e+06	1.27103e+06	1.3237e+06	1.28377e+06
P39406	P39406		rsmC		1.11898e+07	1.10058e+07	1.0743e+07	1.12122e+07	1.0878e+07	1.05211e+07
P39407	P39407		yjjU		527099	457561	457044	493408	487966	456498
P39408	P39408		yjjV		788659	765593	695731	648669	755189	734402
P39411	P39411		yjjX		2.67777e+06	2.67963e+06	3.27561e+06	2.77242e+06	3.06194e+06	2.89524e+06
P39451	P39451		adhP		3.93408e+06	4.00871e+06	4.10062e+06	4.28074e+06	3.87516e+06	3.76388e+06
P39829	P39829		garD		461143	475823	489970	491686	556365	520208
P39830	P39830		ybaL		1.06704e+06	1.06099e+06	1.04573e+06	1.0883e+06	1.02842e+06	1.02746e+06
P39831	P39831		ydfG		8.63314e+06	8.5925e+06	8.4026e+06	8.46021e+06	8.30966e+06	8.05352e+06
P39838	P39838		rcsD		661243	677070	695019	707805	675936	719271
P40120	P40120		mdoD		4.79622e+06	4.90741e+06	5.10993e+06	4.86817e+06	5.14334e+06	5.13186e+06
P40191	P40191		pdxK		1.16252e+06	1.20049e+06	1.19496e+06	1.05672e+06	1.20777e+06	1.38393e+06
P40710	P40710		nlpE		4.06591e+06	4.29717e+06	4.26975e+06	3.99437e+06	4.37109e+06	4.24691e+06
P40719	P40719		qseC		363024	364583	354024	409216	374686	388201
P40874	P40874		solA		2.99537e+06	3.00667e+06	2.9142e+06	3.04135e+06	2.86308e+06	2.7623e+06
P41052	P41052		mltB		1.03864e+06	1.09339e+06	995494	1.04919e+06	982107	955988
